iteration,original,tuned
1,0.02113345079123974,0.006493206135928631
2,0.004567872267216444,0.004545841831713915
3,0.004532983060926199,0.00451709283515811
4,0.004521571099758148,0.004504971206188202
5,0.004774895031005144,0.004507263191044331
6,0.004511232953518629,0.004507081117480993
7,0.004514782223850489,0.004499153234064579
8,0.004509922116994858,0.0044979918748140335
9,0.004510912112891674,0.004496012814342976
10,0.004508891608566046,0.004495752044022083
11,0.004504153039306402,0.00450360169634223
12,0.00450701080262661,0.004504202399402857
13,0.004510523285716772,0.004502101801335812
14,0.004505741875618696,0.004512361716479063
15,0.004511102102696896,0.004502763040363789
16,0.004508781712502241,0.004500721115618944
17,0.004503013100475073,0.004504241980612278
18,0.004513002000749111,0.004497962072491646
19,0.0045042019337415695,0.0044951532036066055
20,0.004497922025620937,0.004503631964325905
21,0.004507341887801886,0.004503622651100159
22,0.004502822179347277,0.004493590909987688
23,0.004504492040723562,0.004496193025261164
24,0.004498233087360859,0.004491260740906
25,0.0045016007497906685,0.004495332948863506
26,0.004513172898441553,0.004490750841796398
27,0.004510662984102964,0.004492952022701502
28,0.004507811740040779,0.004495442844927311
29,0.004500661976635456,0.0044967010617256165
30,0.004500291775912046,0.004497822839766741
31,0.004502322059124708,0.004498513415455818
32,0.004502421710640192,0.004491501022130251
33,0.004506161902099848,0.00449357321485877
34,0.0045000421814620495,0.004493311047554016
35,0.0045079817064106464,0.004497131798416376
36,0.004500591661781073,0.004498613066971302
37,0.004505772143602371,0.00449726078659296
38,0.004498952999711037,0.004502053372561932
39,0.004504482261836529,0.004498120862990618
40,0.004503303207457066,0.004497472662478685
41,0.004505600780248642,0.00450136186555028
42,0.004501813091337681,0.004494783002883196
43,0.004499651025980711,0.004491282161325216
44,0.004500532988458872,0.004494312219321728
45,0.004507661797106266,0.0044949110597372055
46,0.004500382114201784,0.004494372755289078
47,0.0045054820366203785,0.004494891036301851
48,0.004501792602241039,0.004493283107876778
49,0.004498932044953108,0.004497402347624302
50,0.004496802110224962,0.004494871944189072
51,0.004506552126258612,0.004493711981922388
52,0.004499801900237799,0.00449379300698638
53,0.004500601906329393,0.004496951121836901
54,0.004502872005105019,0.004492823034524918
55,0.004503712989389896,0.004493691027164459
56,0.004499800968915224,0.004493402782827616
57,0.004506463184952736,0.004492372274398804
58,0.00450102100148797,0.004487182013690472
59,0.0045004431158304214,0.0044938623905181885
60,0.004496242851018906,0.004495362285524607
61,0.004498162306845188,0.004491492174565792
62,0.004496830981224775,0.004494461230933666
63,0.0045026931911706924,0.00449325330555439
64,0.004503180738538504,0.004488913342356682
65,0.004500002600252628,0.004498711787164211
66,0.004498011898249388,0.004497341811656952
67,0.004502451978623867,0.004494171589612961
68,0.004500532057136297,0.004492572043091059
69,0.004503821954131126,0.004494002088904381
70,0.004503361880779266,0.004491031169891357
71,0.004506463184952736,0.004499322734773159
72,0.00450036209076643,0.004492161795496941
73,0.004502052906900644,0.0044944328255951405
74,0.004498381167650223,0.004493072163313627
75,0.00450057303532958,0.004491761792451143
76,0.004503840580582619,0.004491281695663929
77,0.00450251204892993,0.004500771872699261
78,0.004499433096498251,0.004494181368499994
79,0.0045001511462032795,0.004492963198572397
80,0.004497922956943512,0.004494932014495134
81,0.004503232892602682,0.0044979918748140335
82,0.004502580966800451,0.00449399184435606
83,0.00449402304366231,0.004494932014495134
84,0.0044985320419073105,0.004491931758821011
85,0.004500571638345718,0.004492242820560932
86,0.00449436204507947,0.004492880776524544
87,0.0045012920163571835,0.004493603017181158
88,0.00450237188488245,0.004494540859013796
89,0.004494111984968185,0.004494863096624613
90,0.004500152077525854,0.004494932014495134
91,0.0045000421814620495,0.004490592051297426
92,0.004502593073993921,0.004495422355830669
93,0.004502372350543737,0.0044940621592104435
94,0.0044974819757044315,0.004491921979933977
95,0.0044990116730332375,0.004490712657570839
96,0.0044933827593922615,0.004492251202464104
97,0.004502270836383104,0.00449242303147912
98,0.004499632865190506,0.00449015200138092
99,0.004499210976064205,0.0044900719076395035
100,0.004502532072365284,0.004485561978071928
