SDFG,Kernel,Config,Time,Speedup
"gpu_usu_transposed_258","kernel_22","((1,), (2, 4, 8), (8, 32, 2), (False, False, False), False)","0.3646","1.3373560065825565"
"gpu_usu_transposed_258","kernel_22","((1,), (16, 8, 1), (1, 32, 32), (False, False, False), False)","3.2253999999999996","0.15117504805605508"
"gpu_usu_transposed_258","kernel_22","((1,), (16, 1, 4), (1, 4, 16), (False, False, False), False)","0.414","1.1777777777777778"
"gpu_usu_transposed_258","kernel_22","((1,), (2, 2, 1), (16, 16, 2), (False, False, False), False)","0.2846","1.713281799016163"
"gpu_usu_transposed_258","kernel_22","((1,), (2, 1, 16), (4, 2, 16), (False, False, False), False)","0.8176","0.5963796477495108"
"gpu_usu_transposed_258","kernel_22","((1,), (4, 2, 8), (8, 16, 1), (False, False, False), False)","0.35619999999999996","1.3688938798427852"
"gpu_usu_transposed_258","kernel_22","((1,), (8, 16, 16), (64, 2, 2), (False, False, False), False)","99999999999999.9","0.0"
"gpu_usu_transposed_258","kernel_22","((1,), (8, 1, 16), (16, 2, 16), (False, False, False), False)","0.7051999999999999","0.6914350538854227"
"gpu_usu_transposed_258","kernel_22","((1,), (4, 8, 4), (16, 2, 32), (False, False, False), False)","1.6164","0.30165800544419696"
"gpu_usu_transposed_258","kernel_22","((1,), (2, 1, 8), (16, 8, 4), (False, False, False), False)","0.3446","1.4149738827626233"
"gpu_usu_transposed_258","kernel_22","((1,), (16, 2, 16), (4, 16, 8), (False, False, False), False)","0.7988000000000001","0.6104156234351528"
"gpu_usu_transposed_258","kernel_22","((1,), (8, 8, 16), (16, 4, 1), (False, False, False), False)","0.7806","0.6246477068921343"
"gpu_usu_transposed_258","kernel_22","((1,), (1, 2, 2), (16, 2, 16), (False, False, False), False)","0.4058","1.2015771315919173"
"gpu_usu_transposed_258","kernel_22","((1,), (8, 4, 4), (32, 8, 4), (False, False, False), False)","3.118","0.15991019884541374"
"gpu_usu_transposed_258","kernel_22","((1,), (1, 8, 1), (16, 2, 2), (False, False, False), False)","0.314","1.5878980891719745"
"gpu_usu_transposed_258","kernel_22","((1,), (1, 8, 2), (32, 4, 1), (False, False, False), False)","0.3108","1.5585585585585586"
"gpu_usu_transposed_258","kernel_22","((1,), (2, 2, 2), (32, 16, 1), (False, False, False), False)","0.36","1.3455555555555558"
"gpu_usu_transposed_258","kernel_22","((1,), (2, 1, 8), (16, 2, 8), (False, False, False), False)","0.5952","0.8138440860215055"
"gpu_usu_transposed_258","kernel_22","((1,), (8, 2, 1), (64, 8, 2), (False, False, False), False)","99999999999999.9","0.0"
"gpu_usu_transposed_258","kernel_22","((1,), (2, 1, 2), (32, 2, 1), (False, False, False), False)","0.4772","1.0104777870913664"
"gpu_usu_transposed_258","kernel_22","((1,), (2, 8, 1), (64, 1, 1), (False, False, False), False)","0.8364","0.576518412242946"
"gpu_usu_transposed_258","kernel_22","((1,), (1, 2, 8), (2, 32, 8), (False, False, False), False)","0.25339999999999996","1.9029202841357542"
"gpu_usu_transposed_258","kernel_22","((1,), (4, 1, 1), (16, 4, 16), (False, False, False), False)","0.356","1.354494382022472"
"gpu_usu_transposed_258","kernel_22","((1,), (1, 4, 8), (16, 8, 4), (False, False, False), False)","0.2754","1.7509077705156137"
"gpu_usu_transposed_258","kernel_22","((1,), (2, 2, 2), (128, 2, 1), (False, False, False), False)","0.6054","0.7964981830194912"
"gpu_usu_transposed_258","kernel_22","((1,), (2, 1, 16), (8, 16, 4), (False, False, False), False)","0.2994","1.610554442217769"
"gpu_usu_transposed_258","kernel_22","((1,), (8, 2, 2), (16, 32, 1), (False, False, False), False)","1.3964","0.34531652821541103"
"gpu_usu_transposed_258","kernel_22","((1,), (2, 1, 4), (4, 2, 32), (False, False, False), False)","0.883","0.546092865232163"
"gpu_usu_transposed_258","kernel_22","((1,), (16, 2, 1), (4, 16, 16), (False, False, False), False)","9.5114","0.0506970582669218"
"gpu_usu_transposed_258","kernel_22","((1,), (1, 2, 4), (64, 8, 2), (False, False, False), False)","0.3328","1.4489182692307694"
"gpu_usu_transposed_258","kernel_22","((1,), (2, 2, 2), (32, 4, 2), (False, False, False), False)","0.41580000000000006","1.1596921596921597"
"gpu_usu_transposed_258","kernel_22","((1,), (8, 2, 2), (8, 4, 16), (False, False, False), False)","0.45439999999999997","1.0611795774647887"
"gpu_usu_transposed_258","kernel_22","((1,), (4, 1, 1), (32, 4, 8), (False, False, False), False)","0.3698","1.3039480800432666"
"gpu_usu_transposed_258","kernel_22","((1,), (1, 2, 1), (32, 16, 1), (False, False, False), False)","0.26680000000000004","1.8073463268365815"
"gpu_usu_transposed_258","kernel_22","((1,), (2, 4, 4), (16, 8, 4), (False, False, False), False)","0.3772","1.2783669141039238"
"gpu_usu_transposed_258","kernel_22","((1,), (2, 1, 8), (4, 4, 32), (False, False, False), False)","0.609","0.7917898193760263"
"gpu_usu_transposed_258","kernel_22","((1,), (4, 2, 4), (64, 4, 2), (False, False, False), False)","0.5599999999999999","0.8610714285714287"
"gpu_usu_transposed_258","kernel_22","((1,), (2, 1, 8), (2, 32, 2), (False, False, False), False)","0.2544","1.895440251572327"
"gpu_usu_transposed_258","kernel_22","((1,), (2, 1, 1), (2, 4, 32), (False, False, False), False)","0.44139999999999996","1.0924331671952878"
"gpu_usu_transposed_258","kernel_22","((1,), (2, 1, 8), (2, 16, 8), (False, False, False), False)","0.3028","1.5924702774108321"
"gpu_usu_transposed_258","kernel_22","((1,), (1, 8, 4), (128, 2, 4), (False, False, False), False)","0.4258","1.1324565523720056"
"gpu_usu_transposed_258","kernel_22","((1,), (2, 4, 4), (2, 32, 16), (False, False, False), False)","0.33999999999999997","1.4182352941176473"
"gpu_usu_transposed_258","kernel_22","((1,), (16, 1, 1), (2, 32, 2), (False, False, False), False)","0.25739999999999996","1.8733488733488737"
"gpu_usu_transposed_258","kernel_22","((1,), (1, 4, 1), (1, 32, 32), (False, False, False), False)","0.2448","1.9697712418300655"
"gpu_usu_transposed_258","kernel_22","((1,), (2, 2, 4), (64, 2, 1), (False, False, False), False)","0.5518","0.8738673432403046"
"gpu_usu_transposed_258","kernel_22","((1,), (2, 2, 1), (2, 16, 32), (False, False, False), False)","0.264","1.8265151515151514"
"gpu_usu_transposed_258","kernel_22","((1,), (2, 1, 2), (1, 32, 16), (False, False, False), False)","0.2468","1.953808752025932"
"gpu_usu_transposed_258","kernel_22","((1,), (1, 8, 1), (8, 8, 16), (False, False, False), False)","0.2326","2.0730868443680137"
"gpu_usu_transposed_258","kernel_22","((1,), (4, 1, 2), (32, 4, 4), (False, False, False), False)","0.41559999999999997","1.160250240615977"
"gpu_usu_transposed_258","kernel_22","((1,), (4, 2, 4), (32, 4, 2), (False, False, False), False)","0.426","1.131924882629108"
