Identifier,tY,tX,bK,tM,tN,time,GFLOPs,percentagePeak
cuBLAS,1,32,64,4,4,0.102636,10712.758843,75.809264
Outer-Product + No Remainder,1,32,64,4,4,3.156508,348.331694,2.464983
Inner Product + No Remainder,1,32,64,4,4,3.153197,348.697435,2.467571
Inner Product + Remainder,1,32,64,4,4,3.364137,326.833217,2.312848
cuBLAS,1,32,8,4,8,0.093803,11721.520182,82.947804
Outer-Product + No Remainder,1,32,8,4,8,0.735081,1495.770106,10.584877
Inner Product + No Remainder,1,32,8,4,8,0.736095,1493.709669,10.570296
Inner Product + Remainder,1,32,8,4,8,0.736311,1493.271352,10.567194
cuBLAS,1,32,16,4,8,0.093665,11738.796705,83.070062
Outer-Product + No Remainder,1,32,16,4,8,1.227202,895.950156,6.340227
Inner Product + No Remainder,1,32,16,4,8,1.223996,898.297039,6.356835
Inner Product + Remainder,1,32,16,4,8,1.230017,893.899561,6.325716
cuBLAS,1,32,32,4,8,0.102212,10757.218525,76.123885
Outer-Product + No Remainder,1,32,32,4,8,2.824569,389.267066,2.754664
Inner Product + No Remainder,1,32,32,4,8,2.823563,389.405704,2.755645
Inner Product + Remainder,1,32,32,4,8,2.830396,388.465619,2.748992
cuBLAS,1,32,24,4,8,0.094493,11635.918278,82.342038
Outer-Product + No Remainder,1,32,24,4,8,1.912757,574.830771,4.067813
Inner Product + No Remainder,1,32,24,4,8,1.912229,574.989552,4.068936
Inner Product + Remainder,1,32,24,4,8,1.938734,567.128664,4.013309
cuBLAS,1,32,24,4,8,0.093670,11738.150366,83.065488
Outer-Product + No Remainder,1,32,24,4,8,1.914141,574.415099,4.064871
Inner Product + No Remainder,1,32,24,4,8,1.912327,574.959969,4.068727
Inner Product + Remainder,1,32,24,4,8,1.937730,567.422627,4.015389
cuBLAS,1,32,8,4,12,0.102222,10756.076847,76.115805
Outer-Product + No Remainder,1,32,8,4,12,0.947089,1160.938257,8.215426
Inner Product + No Remainder,1,32,8,4,12,0.947411,1160.543957,8.212635
Inner Product + Remainder,1,32,8,4,12,0.969168,1134.490696,8.028269
cuBLAS,1,32,16,4,12,0.093703,11733.997713,83.036101
Outer-Product + No Remainder,1,32,16,4,12,1.965019,559.542584,3.959625
Inner Product + No Remainder,1,32,16,4,12,1.962554,560.245369,3.964599
Inner Product + Remainder,1,32,16,4,12,1.992670,551.778204,3.904680
cuBLAS,1,32,16,4,12,0.093715,11732.502713,83.025522
Outer-Product + No Remainder,1,32,16,4,12,1.964562,559.672720,3.960546
Inner Product + No Remainder,1,32,16,4,12,1.962911,560.143390,3.963877
Inner Product + Remainder,1,32,16,4,12,1.991804,552.018030,3.906378
cuBLAS,1,32,24,4,12,0.101446,10838.408692,76.698430
Outer-Product + No Remainder,1,32,24,4,12,2.888837,380.607059,2.693381
Inner Product + No Remainder,1,32,24,4,12,2.889214,380.557369,2.693029
Inner Product + Remainder,1,32,24,4,12,2.922412,376.234284,2.662437
cuBLAS,1,32,24,4,12,0.093816,11719.896830,82.936316
Outer-Product + No Remainder,1,32,24,4,12,2.889303,380.545664,2.692947
Inner Product + No Remainder,1,32,24,4,12,2.889548,380.513415,2.692718
Inner Product + Remainder,1,32,24,4,12,2.922071,376.278230,2.662748
cuBLAS,1,32,8,8,2,0.101394,10843.967396,76.737766
Outer-Product + No Remainder,1,32,8,8,2,0.377706,2911.022748,20.599968
Inner Product + No Remainder,1,32,8,8,2,0.481377,2284.097524,16.163507
Inner Product + Remainder,1,32,8,8,2,0.873265,1259.080659,8.909934
cuBLAS,1,32,16,8,2,0.093703,11734.013955,83.036216
Outer-Product + No Remainder,1,32,16,8,2,0.626196,1755.859152,12.425407
Inner Product + No Remainder,1,32,16,8,2,0.573647,1916.705335,13.563642
Inner Product + Remainder,1,32,16,8,2,0.849415,1294.434651,9.160118
cuBLAS,1,32,32,8,2,0.094097,11684.847872,82.688291
Outer-Product + No Remainder,1,32,32,8,2,1.101814,997.910744,7.061755
Inner Product + No Remainder,1,32,32,8,2,1.097387,1001.935890,7.090239
Inner Product + Remainder,1,32,32,8,2,1.102327,997.445839,7.058465
cuBLAS,1,32,24,8,2,0.102272,10750.839635,76.078744
Outer-Product + No Remainder,1,32,24,8,2,0.851142,1291.807744,9.141529
Inner Product + No Remainder,1,32,24,8,2,0.846270,1299.245014,9.194159
Inner Product + Remainder,1,32,24,8,2,0.887929,1238.287925,8.762794
cuBLAS,1,32,64,8,2,0.094182,11674.330713,82.613865
Outer-Product + No Remainder,1,32,64,8,2,2.220186,495.234117,3.504544
Inner Product + No Remainder,1,32,64,8,2,2.216671,496.019391,3.510101
Inner Product + Remainder,1,32,64,8,2,2.214003,496.616951,3.514330
cuBLAS,1,32,8,8,4,0.093736,11729.847997,83.006736
Outer-Product + No Remainder,1,32,8,8,4,0.316426,3474.787565,24.589472
Inner Product + No Remainder,1,32,8,8,4,0.318108,3456.412494,24.459440
Inner Product + Remainder,1,32,8,8,4,0.337450,3258.296886,23.057467
cuBLAS,1,32,16,8,4,0.101418,10841.424658,76.719773
Outer-Product + No Remainder,1,32,16,8,4,0.383388,2867.883356,20.294691
Inner Product + No Remainder,1,32,16,8,4,0.394238,2788.956063,19.736158
Inner Product + Remainder,1,32,16,8,4,0.399100,2754.976674,19.495702
cuBLAS,1,32,32,8,4,0.093708,11733.348081,83.031504
Outer-Product + No Remainder,1,32,32,8,4,0.738913,1488.013104,10.529984
Inner Product + No Remainder,1,32,32,8,4,0.738758,1488.324996,10.532191
Inner Product + Remainder,1,32,32,8,4,0.741645,1482.531591,10.491194
cuBLAS,1,32,24,8,4,0.093231,11793.399459,83.456460
Outer-Product + No Remainder,1,32,24,8,4,0.534882,2055.616409,14.546651
Inner Product + No Remainder,1,32,24,8,4,0.537714,2044.787333,14.470019
Inner Product + Remainder,1,32,24,8,4,0.542229,2027.761792,14.349537
cuBLAS,1,32,64,8,4,0.101358,10847.852737,76.765261
Outer-Product + No Remainder,1,32,64,8,4,1.805708,608.908791,4.308967
Inner Product + No Remainder,1,32,64,8,4,1.889716,581.839556,4.117411
Inner Product + Remainder,1,32,64,8,4,1.902505,577.928450,4.089734
cuBLAS,1,32,8,8,8,0.093721,11731.810270,83.020622
Outer-Product + No Remainder,1,32,8,8,8,0.380914,2886.505821,20.426473
Inner Product + No Remainder,1,32,8,8,8,0.380844,2887.035960,20.430225
Inner Product + Remainder,1,32,8,8,8,0.383298,2868.558547,20.299469
cuBLAS,1,32,16,8,8,0.093677,11737.220184,83.058905
Outer-Product + No Remainder,1,32,16,8,8,0.665918,1651.122183,11.684232
Inner Product + No Remainder,1,32,16,8,8,0.665257,1652.761099,11.695830
Inner Product + Remainder,1,32,16,8,8,0.665160,1653.002537,11.697538
cuBLAS,1,32,32,8,8,0.101487,10834.010462,76.667306
Outer-Product + No Remainder,1,32,32,8,8,1.601262,686.653029,4.859127
Inner Product + No Remainder,1,32,32,8,8,1.697978,647.541915,4.582356
Inner Product + Remainder,1,32,32,8,8,1.661674,661.689007,4.682469
cuBLAS,1,32,24,8,8,0.093675,11737.541382,83.061178
Outer-Product + No Remainder,1,32,24,8,8,1.042411,1054.777203,7.464173
Inner Product + No Remainder,1,32,24,8,8,1.094149,1004.900918,7.111221
Inner Product + Remainder,1,32,24,8,8,1.101961,997.777096,7.060809
cuBLAS,1,32,24,8,8,0.101008,10885.340206,77.030543
Outer-Product + No Remainder,1,32,24,8,8,1.043297,1053.881344,7.457833
Inner Product + No Remainder,1,32,24,8,8,1.094822,1004.283330,7.106851
Inner Product + Remainder,1,32,24,8,8,1.101583,998.119633,7.063233
cuBLAS,1,32,8,8,12,0.093829,11718.210088,82.924380
Outer-Product + No Remainder,1,32,8,8,12,0.508562,2162.000449,15.299482
Inner Product + No Remainder,1,32,8,8,12,0.510167,2155.200108,15.251359
Inner Product + Remainder,1,32,8,8,12,0.522007,2106.315792,14.905427
cuBLAS,1,32,16,8,12,0.093660,11739.381913,83.074203
Outer-Product + No Remainder,1,32,16,8,12,1.063984,1033.391240,7.312834
Inner Product + No Remainder,1,32,16,8,12,1.064072,1033.305528,7.312228
Inner Product + Remainder,1,32,16,8,12,1.299333,846.212342,5.988255
cuBLAS,1,32,16,8,12,0.102168,10761.769983,76.156093
Outer-Product + No Remainder,1,32,16,8,12,1.064092,1033.286324,7.312092
Inner Product + No Remainder,1,32,16,8,12,1.064113,1033.265818,7.311947
Inner Product + Remainder,1,32,16,8,12,1.300163,845.671847,5.984430
cuBLAS,1,32,24,8,12,0.093715,11732.447314,83.025130
Outer-Product + No Remainder,1,32,24,8,12,1.558948,705.290656,4.991017
Inner Product + No Remainder,1,32,24,8,12,1.987091,553.327213,3.915642
Inner Product + Remainder,1,32,24,8,12,2.016333,545.302565,3.858855
cuBLAS,1,32,24,8,12,0.102221,10756.211716,76.116760
Outer-Product + No Remainder,1,32,24,8,12,1.559560,705.014025,4.989060
Inner Product + No Remainder,1,32,24,8,12,1.986427,553.512088,3.916950
Inner Product + Remainder,1,32,24,8,12,2.016264,545.321317,3.858988
cuBLAS,1,32,8,12,2,0.101406,10842.707707,76.728852
Outer-Product + No Remainder,1,32,8,12,2,0.367728,2990.015357,21.158963
Inner Product + No Remainder,1,32,8,12,2,0.327336,3358.967911,23.769870
Inner Product + Remainder,1,32,8,12,2,0.608099,1808.111965,12.795176
cuBLAS,1,32,16,12,2,0.092961,11827.698854,83.699181
Outer-Product + No Remainder,1,32,16,12,2,0.448675,2450.572487,17.341574
Inner Product + No Remainder,1,32,16,12,2,0.356394,3085.097592,21.831816
Inner Product + Remainder,1,32,16,12,2,0.591171,1859.887562,13.161568
cuBLAS,1,32,32,12,2,0.094496,11635.481433,82.338947
Outer-Product + No Remainder,1,32,32,12,2,0.797459,1378.768454,9.756910
Inner Product + No Remainder,1,32,32,12,2,0.800360,1373.770944,9.721545
Inner Product + Remainder,1,32,32,12,2,0.797091,1379.405497,9.761418
cuBLAS,1,32,24,12,2,0.093739,11729.503354,83.004297
Outer-Product + No Remainder,1,32,24,12,2,0.623944,1762.196441,12.470253
Inner Product + No Remainder,1,32,24,12,2,0.629428,1746.841787,12.361595
Inner Product + Remainder,1,32,24,12,2,0.658539,1669.623416,11.815156
cuBLAS,1,32,64,12,2,0.100867,10900.628144,77.138728
Outer-Product + No Remainder,1,32,64,12,2,1.565148,702.496765,4.971246
Inner Product + No Remainder,1,32,64,12,2,1.541942,713.069261,5.046063
Inner Product + Remainder,1,32,64,12,2,1.538952,714.454721,5.055867
cuBLAS,1,32,8,12,4,0.093756,11727.413971,82.989511
Outer-Product + No Remainder,1,32,8,12,4,0.233727,4704.262287,33.289899
Inner Product + No Remainder,1,32,8,12,4,0.232670,4725.618952,33.441030
Inner Product + Remainder,1,32,8,12,4,0.234372,4691.308253,33.198229
cuBLAS,1,32,16,12,4,0.093796,11722.383992,82.953916
Outer-Product + No Remainder,1,32,16,12,4,0.305615,3597.705841,25.459308
Inner Product + No Remainder,1,32,16,12,4,0.305390,3600.353334,25.478044
Inner Product + Remainder,1,32,16,12,4,0.308993,3558.364913,25.180911
cuBLAS,1,32,32,12,4,0.101371,10846.455816,76.755376
Outer-Product + No Remainder,1,32,32,12,4,0.576946,1905.743478,13.486069
Inner Product + No Remainder,1,32,32,12,4,0.570053,1928.787465,13.649141
Inner Product + Remainder,1,32,32,12,4,0.566381,1941.292086,13.737631
cuBLAS,1,32,24,12,4,0.093721,11731.702352,83.019858
Outer-Product + No Remainder,1,32,24,12,4,0.391703,2807.003315,19.863871
Inner Product + No Remainder,1,32,24,12,4,0.391079,2811.485369,19.895588
Inner Product + Remainder,1,32,24,12,4,0.393305,2795.570841,19.782968
cuBLAS,1,32,64,12,4,0.093728,11730.832393,83.013702
Outer-Product + No Remainder,1,32,64,12,4,1.367033,804.305350,5.691699
Inner Product + No Remainder,1,32,64,12,4,1.458625,753.800260,5.334298
Inner Product + Remainder,1,32,64,12,4,1.515521,725.500580,5.134034
cuBLAS,1,32,8,12,8,0.102253,10752.875500,76.093151
Outer-Product + No Remainder,1,32,8,12,8,0.322462,3409.742348,24.129177
Inner Product + No Remainder,1,32,8,12,8,0.311004,3535.362758,25.018135
Inner Product + Remainder,1,32,8,12,8,0.297135,3700.379902,26.185885
cuBLAS,1,32,16,12,8,0.093718,11732.158869,83.023089
Outer-Product + No Remainder,1,32,16,12,8,0.478668,2297.021857,16.254966
Inner Product + No Remainder,1,32,16,12,8,0.478341,2298.591376,16.266073
Inner Product + Remainder,1,32,16,12,8,0.481569,2283.188085,16.157071
cuBLAS,1,32,32,12,8,0.093683,11736.571152,83.054312
Outer-Product + No Remainder,1,32,32,12,8,1.189377,924.443266,6.541860
Inner Product + No Remainder,1,32,32,12,8,1.541425,713.308525,5.047756
Inner Product + Remainder,1,32,32,12,8,1.288523,853.311638,6.038494
cuBLAS,1,32,24,12,8,0.101627,10819.054880,76.561472
Outer-Product + No Remainder,1,32,24,12,8,0.749543,1466.908565,10.380637
Inner Product + No Remainder,1,32,24,12,8,0.910066,1208.166939,8.549641
Inner Product + Remainder,1,32,24,12,8,0.926092,1187.259167,8.401687
cuBLAS,1,32,24,12,8,0.102350,10742.665443,76.020899
Outer-Product + No Remainder,1,32,24,12,8,0.755545,1455.255871,10.298176
Inner Product + No Remainder,1,32,24,12,8,0.909361,1209.103535,8.556269
Inner Product + Remainder,1,32,24,12,8,0.926955,1186.154166,8.393867
cuBLAS,1,32,8,12,12,0.093734,11730.092409,83.008465
Outer-Product + No Remainder,1,32,8,12,12,0.367149,2994.726265,21.192299
Inner Product + No Remainder,1,32,8,12,12,0.440974,2493.369100,17.644426
Inner Product + Remainder,1,32,8,12,12,0.382665,2873.303426,20.333046
cuBLAS,1,32,16,12,12,0.093701,11734.213636,83.037629
Outer-Product + No Remainder,1,32,16,12,12,0.760802,1445.201451,10.227026
Inner Product + No Remainder,1,32,16,12,12,0.843683,1303.228121,9.222346
Inner Product + Remainder,1,32,16,12,12,0.924515,1189.285164,8.416024
cuBLAS,1,32,16,12,12,0.102251,10753.107371,76.094792
Outer-Product + No Remainder,1,32,16,12,12,0.761567,1443.749475,10.216751
Inner Product + No Remainder,1,32,16,12,12,1.057535,1039.693343,7.357431
Inner Product + Remainder,1,32,16,12,12,0.924567,1189.217488,8.415545
cuBLAS,1,32,24,12,12,0.093814,11720.113187,82.937847
Outer-Product + No Remainder,1,32,24,12,12,1.125419,976.980164,6.913639
Inner Product + No Remainder,1,32,24,12,12,1.407416,781.227032,5.528384
Inner Product + Remainder,1,32,24,12,12,1.432705,767.437386,5.430801
cuBLAS,1,32,24,12,12,0.102255,10752.646848,76.091533
Outer-Product + No Remainder,1,32,24,12,12,1.130437,972.643299,6.882949
Inner Product + No Remainder,1,32,24,12,12,1.408757,780.483344,5.523121
Inner Product + Remainder,1,32,24,12,12,1.431768,767.939827,5.434357
cuBLAS,1,32,8,16,2,0.101476,10835.215994,76.675837
Outer-Product + No Remainder,1,32,8,16,2,0.339009,3243.306329,22.951386
Inner Product + No Remainder,1,32,8,16,2,0.295643,3719.054024,26.318034
Inner Product + Remainder,1,32,8,16,2,0.456332,2409.454003,17.050597
cuBLAS,1,32,16,16,2,0.093973,11700.333832,82.797878
Outer-Product + No Remainder,1,32,16,16,2,0.344051,3195.781837,22.615077
Inner Product + No Remainder,1,32,16,16,2,0.300996,3652.911808,25.849976
Inner Product + Remainder,1,32,16,16,2,0.499821,2199.812068,15.567058
cuBLAS,1,32,32,16,2,0.092958,11828.045409,83.701634
Outer-Product + No Remainder,1,32,32,16,2,0.717168,1533.129599,10.849253
Inner Product + No Remainder,1,32,32,16,2,0.716847,1533.815830,10.854109
Inner Product + Remainder,1,32,32,16,2,0.720263,1526.542905,10.802642
cuBLAS,1,32,24,16,2,0.102185,10759.983804,76.143453
Outer-Product + No Remainder,1,32,24,16,2,0.523974,2098.407290,14.849463
Inner Product + No Remainder,1,32,24,16,2,0.519431,2116.762784,14.979356
Inner Product + Remainder,1,32,24,16,2,0.527117,2085.897198,14.760934
cuBLAS,1,32,64,16,2,0.094079,11687.085127,82.704123
Outer-Product + No Remainder,1,32,64,16,2,1.522750,722.056792,5.109664
Inner Product + No Remainder,1,32,64,16,2,1.542446,712.836532,5.044416
Inner Product + Remainder,1,32,64,16,2,1.528727,719.233448,5.089684
cuBLAS,1,32,8,16,4,0.093716,11732.403378,83.024819
Outer-Product + No Remainder,1,32,8,16,4,0.209172,5256.500708,37.197836
Inner Product + No Remainder,1,32,8,16,4,0.208860,5264.337143,37.253291
Inner Product + Remainder,1,32,8,16,4,0.207873,5289.336906,37.430203
cuBLAS,1,32,16,16,4,0.102528,10724.029994,75.889025
Outer-Product + No Remainder,1,32,16,16,4,0.253673,4334.362806,30.672291
Inner Product + No Remainder,1,32,16,16,4,0.253777,4332.588305,30.659733
Inner Product + Remainder,1,32,16,16,4,0.251999,4363.164101,30.876104
cuBLAS,1,32,32,16,4,0.094496,11635.544374,82.339392
Outer-Product + No Remainder,1,32,32,16,4,0.477659,2301.876710,16.289322
Inner Product + No Remainder,1,32,32,16,4,0.477833,2301.039470,16.283397
Inner Product + Remainder,1,32,32,16,4,0.474228,2318.530602,16.407174
cuBLAS,1,32,24,16,4,0.092875,11838.568198,83.776099
Outer-Product + No Remainder,1,32,24,16,4,0.320511,3430.494277,24.276029
Inner Product + No Remainder,1,32,24,16,4,0.322635,3407.906552,24.116186
Inner Product + Remainder,1,32,24,16,4,0.323903,3394.568285,24.021797
cuBLAS,1,32,64,16,4,0.102261,10752.037959,76.087224
Outer-Product + No Remainder,1,32,64,16,4,1.146622,958.914122,6.785794
Inner Product + No Remainder,1,32,64,16,4,2.760003,398.373391,2.819105
Inner Product + Remainder,1,32,64,16,4,2.517831,436.690079,3.090255
cuBLAS,1,32,8,16,8,0.093710,11733.179953,83.030314
Outer-Product + No Remainder,1,32,8,16,8,0.263067,4179.581733,29.576976
Inner Product + No Remainder,1,32,8,16,8,0.261835,4199.246630,29.716136
Inner Product + Remainder,1,32,8,16,8,0.264460,4157.573131,29.421232
cuBLAS,1,32,16,16,8,0.101482,10834.515450,76.670879
Outer-Product + No Remainder,1,32,16,16,8,0.394230,2789.013060,19.736562
Inner Product + No Remainder,1,32,16,16,8,0.458969,2395.611995,16.952644
Inner Product + Remainder,1,32,16,16,8,0.391505,2808.422698,19.873915
cuBLAS,1,32,32,16,8,0.093749,11728.209930,82.995144
Outer-Product + No Remainder,1,32,32,16,8,0.982267,1119.361576,7.921207
Inner Product + No Remainder,1,32,32,16,8,1.146509,959.008358,6.786461
Inner Product + Remainder,1,32,32,16,8,1.102013,997.730234,7.060478
cuBLAS,1,32,24,16,8,0.101459,10836.972642,76.688268
Outer-Product + No Remainder,1,32,24,16,8,0.608084,1808.158607,12.795506
Inner Product + No Remainder,1,32,24,16,8,0.826540,1330.257566,9.413621
Inner Product + Remainder,1,32,24,16,8,0.726050,1514.375320,10.716537
cuBLAS,1,32,24,16,8,0.102261,10752.033948,76.087196
Outer-Product + No Remainder,1,32,24,16,8,0.602460,1825.036847,12.914946
Inner Product + No Remainder,1,32,24,16,8,0.826147,1330.891659,9.418108
Inner Product + Remainder,1,32,24,16,8,0.726006,1514.466349,10.717181
cuBLAS,1,32,8,16,12,0.093718,11732.066225,83.022433
Outer-Product + No Remainder,1,32,8,16,12,0.333857,3293.364378,23.305624
