Identifier,tY,tX,bK,tM,tN,time,GFLOPs,percentagePeak
cuBLAS,1,32,8,2,2,0.117934,9323.096049,65.975260
Outer-Product + No Remainder,1,32,8,2,2,1.280758,858.485283,6.075105
Inner Product + No Remainder,1,32,8,2,2,1.270544,865.386539,6.123942
Inner Product + Remainder,1,32,8,2,2,2.532887,434.094235,3.071885
cuBLAS,1,32,16,2,2,0.104086,10563.513049,74.753120
Outer-Product + No Remainder,1,32,16,2,2,1.780336,617.586521,4.370376
Inner Product + No Remainder,1,32,16,2,2,1.778785,618.124945,4.374186
Inner Product + Remainder,1,32,16,2,2,2.469981,445.149752,3.150120
cuBLAS,1,32,32,2,2,0.094245,11666.497995,82.558437
Outer-Product + No Remainder,1,32,32,2,2,3.583810,306.799617,2.171080
Inner Product + No Remainder,1,32,32,2,2,3.583312,306.842301,2.171382
Inner Product + Remainder,1,32,32,2,2,3.549089,309.801055,2.192319
cuBLAS,1,32,24,2,2,0.102205,10757.942035,76.129005
Outer-Product + No Remainder,1,32,24,2,2,2.599751,422.929555,2.992878
Inner Product + No Remainder,1,32,24,2,2,2.604109,422.221833,2.987870
Inner Product + Remainder,1,32,24,2,2,2.601974,422.568241,2.990321
cuBLAS,1,32,64,2,2,0.093746,11728.642312,82.998204
Outer-Product + No Remainder,1,32,64,2,2,8.095363,135.819932,0.961135
Inner Product + No Remainder,1,32,64,2,2,8.097649,135.781588,0.960864
Inner Product + Remainder,1,32,64,2,2,8.020892,137.080973,0.970059
cuBLAS,1,32,8,2,4,0.102223,10756.046341,76.115590
Outer-Product + No Remainder,1,32,8,2,4,1.248469,880.687887,6.232223
Inner Product + No Remainder,1,32,8,2,4,1.249275,880.119754,6.228202
Inner Product + Remainder,1,32,8,2,4,1.250101,879.538441,6.224089
cuBLAS,1,32,16,2,4,0.093713,11732.775892,83.027455
Outer-Product + No Remainder,1,32,16,2,4,1.458121,754.060636,5.336140
Inner Product + No Remainder,1,32,16,2,4,1.467943,749.015458,5.300438
Inner Product + Remainder,1,32,16,2,4,1.415577,776.723211,5.496513
cuBLAS,1,32,32,2,4,0.093760,11726.933013,82.986108
Outer-Product + No Remainder,1,32,32,2,4,2.583555,425.580898,3.011640
Inner Product + No Remainder,1,32,32,2,4,2.578604,426.398095,3.017423
Inner Product + Remainder,1,32,32,2,4,2.574871,427.016143,3.021797
cuBLAS,1,32,24,2,4,0.101529,10829.492919,76.635337
Outer-Product + No Remainder,1,32,24,2,4,1.932738,568.888042,4.025759
Inner Product + No Remainder,1,32,24,2,4,1.938562,567.178839,4.013664
Inner Product + Remainder,1,32,24,2,4,1.931777,569.171100,4.027762
cuBLAS,1,32,64,2,4,0.093715,11732.539008,83.025779
Outer-Product + No Remainder,1,32,64,2,4,6.009060,182.975658,1.294835
Inner Product + No Remainder,1,32,64,2,4,5.894297,186.538217,1.320045
Inner Product + Remainder,1,32,64,2,4,5.743804,191.425681,1.354631
cuBLAS,1,32,8,2,8,0.101354,10848.277355,76.768266
Outer-Product + No Remainder,1,32,8,2,8,1.470517,747.704080,5.291158
Inner Product + No Remainder,1,32,8,2,8,1.471580,747.164042,5.287336
Inner Product + Remainder,1,32,8,2,8,1.462800,751.648676,5.319072
cuBLAS,1,32,16,2,8,0.093674,11737.669483,83.062085
Outer-Product + No Remainder,1,32,16,2,8,2.413000,455.661677,3.224508
Inner Product + No Remainder,1,32,16,2,8,2.413040,455.654117,3.224454
Inner Product + Remainder,1,32,16,2,8,2.380289,461.923667,3.268821
cuBLAS,1,32,32,2,8,0.093733,11730.204117,83.009256
Outer-Product + No Remainder,1,32,32,2,8,5.631844,195.231186,1.381561
Inner Product + No Remainder,1,32,32,2,8,5.633974,195.157380,1.381039
Inner Product + Remainder,1,32,32,2,8,5.478936,200.679789,1.420119
cuBLAS,1,32,24,2,8,0.102243,10753.878475,76.100249
Outer-Product + No Remainder,1,32,24,2,8,3.690959,297.893232,2.108053
Inner Product + No Remainder,1,32,24,2,8,3.686449,298.257655,2.110632
Inner Product + Remainder,1,32,24,2,8,3.718134,295.715955,2.092646
cuBLAS,1,32,24,2,8,0.093735,11729.972111,83.007614
Outer-Product + No Remainder,1,32,24,2,8,3.685848,298.306274,2.110976
Inner Product + No Remainder,1,32,24,2,8,3.686490,298.254376,2.110609
Inner Product + Remainder,1,32,24,2,8,3.717768,295.745103,2.092852
cuBLAS,1,32,8,2,12,0.101420,10841.168574,76.717960
Outer-Product + No Remainder,1,32,8,2,12,1.848374,594.853430,4.209504
Inner Product + No Remainder,1,32,8,2,12,1.845347,595.829225,4.216409
Inner Product + Remainder,1,32,8,2,12,1.881133,584.494304,4.136197
cuBLAS,1,32,16,2,12,0.093722,11731.569605,83.018919
Outer-Product + No Remainder,1,32,16,2,12,3.751646,293.074423,2.073953
Inner Product + No Remainder,1,32,16,2,12,3.752122,293.037275,2.073690
Inner Product + Remainder,1,32,16,2,12,3.816312,288.108421,2.038811
cuBLAS,1,32,16,2,12,0.093733,11730.216529,83.009344
Outer-Product + No Remainder,1,32,16,2,12,3.751640,293.074919,2.073956
Inner Product + No Remainder,1,32,16,2,12,3.752410,293.014759,2.073531
Inner Product + Remainder,1,32,16,2,12,3.815570,288.164481,2.039207
cuBLAS,1,32,24,2,12,0.102242,10754.030141,76.101322
Outer-Product + No Remainder,1,32,24,2,12,5.498581,199.962811,1.415045
Inner Product + No Remainder,1,32,24,2,12,5.496445,200.040493,1.415594
Inner Product + Remainder,1,32,24,2,12,5.595330,196.505231,1.390577
cuBLAS,1,32,24,2,12,0.093832,11717.838499,82.921750
Outer-Product + No Remainder,1,32,24,2,12,5.497757,199.992754,1.415257
Inner Product + No Remainder,1,32,24,2,12,5.497006,200.020076,1.415450
Inner Product + Remainder,1,32,24,2,12,5.595012,196.516412,1.390656
cuBLAS,1,32,8,4,2,0.101395,10843.864587,76.737039
Outer-Product + No Remainder,1,32,8,4,2,0.644464,1706.087475,12.073196
Inner Product + No Remainder,1,32,8,4,2,0.643355,1709.027439,12.094001
Inner Product + Remainder,1,32,8,4,2,1.285234,855.495117,6.053945
cuBLAS,1,32,16,4,2,0.093013,11821.058056,83.652187
Outer-Product + No Remainder,1,32,16,4,2,0.898261,1224.044066,8.661996
Inner Product + No Remainder,1,32,16,4,2,0.912781,1204.573299,8.524211
Inner Product + Remainder,1,32,16,4,2,1.245066,883.094940,6.249256
cuBLAS,1,32,32,4,2,0.093799,11722.032160,82.951427
Outer-Product + No Remainder,1,32,32,4,2,1.846929,595.318853,4.212798
Inner Product + No Remainder,1,32,32,4,2,1.841025,597.228123,4.226309
Inner Product + Remainder,1,32,32,4,2,1.852806,593.430549,4.199435
cuBLAS,1,32,24,4,2,0.102179,10760.590379,76.147746
Outer-Product + No Remainder,1,32,24,4,2,1.415606,776.707270,5.496400
Inner Product + No Remainder,1,32,24,4,2,1.552773,708.095447,5.010866
Inner Product + Remainder,1,32,24,4,2,1.409711,779.955581,5.519387
cuBLAS,1,32,64,4,2,0.093690,11735.652688,83.047813
Outer-Product + No Remainder,1,32,64,4,2,4.145280,265.244219,1.877011
Inner Product + No Remainder,1,32,64,4,2,4.177849,263.176481,1.862379
Inner Product + Remainder,1,32,64,4,2,4.153958,264.690085,1.873090
cuBLAS,1,32,8,4,4,0.093774,11725.083981,82.973023
Outer-Product + No Remainder,1,32,8,4,4,0.619773,1774.055879,12.554177
Inner Product + No Remainder,1,32,8,4,4,0.619713,1774.226062,12.555381
Inner Product + Remainder,1,32,8,4,4,0.623132,1764.491574,12.486495
cuBLAS,1,32,16,4,4,0.102187,10759.811886,76.142237
Outer-Product + No Remainder,1,32,16,4,4,0.735457,1495.004949,10.579462
Inner Product + No Remainder,1,32,16,4,4,0.676577,1625.109315,11.500151
Inner Product + Remainder,1,32,16,4,4,0.732697,1500.636137,10.619311
cuBLAS,1,32,32,4,4,0.093693,11735.279991,83.045175
Outer-Product + No Remainder,1,32,32,4,4,1.287345,854.092699,6.044021
Inner Product + No Remainder,1,32,32,4,4,1.273779,863.188490,6.108388
Inner Product + Remainder,1,32,32,4,4,1.275346,862.128304,6.100885
cuBLAS,1,32,24,4,4,0.093738,11729.567316,83.004749
Outer-Product + No Remainder,1,32,24,4,4,0.991396,1109.053796,7.848263
Inner Product + No Remainder,1,32,24,4,4,0.989488,1111.192510,7.863398
Inner Product + Remainder,1,32,24,4,4,0.991768,1108.638134,7.845322
