Identifier,tY,tX,bK,tM,tN,time,GFLOPs,percentagePeak
cuBLAS,1,32,8,2,2,0.123248,8921.122135,45.768497
Outer-Product + No Remainder,1,32,8,2,2,1.085391,1013.009609,5.197096
Inner Product + No Remainder,1,32,8,2,2,1.066034,1031.404319,5.291467
Inner Product + Remainder,1,32,8,2,2,2.548578,431.421673,2.213345
cuBLAS,1,32,16,2,2,0.121542,9046.345051,46.410935
Outer-Product + No Remainder,1,32,16,2,2,1.497815,734.077146,3.766074
Inner Product + No Remainder,1,32,16,2,2,1.458758,753.731441,3.866908
Inner Product + Remainder,1,32,16,2,2,2.542491,432.454487,2.218644
cuBLAS,1,32,32,2,2,0.127579,8618.310387,44.214966
Outer-Product + No Remainder,1,32,32,2,2,2.357979,466.294070,2.392253
Inner Product + No Remainder,1,32,32,2,2,2.526776,435.144105,2.232442
Inner Product + Remainder,1,32,32,2,2,2.471623,444.854137,2.282258
cuBLAS,1,32,24,2,2,0.122116,9003.838572,46.192861
Outer-Product + No Remainder,1,32,24,2,2,2.006153,548.069690,2.811790
Inner Product + No Remainder,1,32,24,2,2,1.959274,561.183313,2.879068
Inner Product + Remainder,1,32,24,2,2,2.582204,425.803532,2.184522
cuBLAS,1,32,64,2,2,0.131501,8361.251793,42.896165
Outer-Product + No Remainder,1,32,64,2,2,4.605860,238.720140,1.224718
Inner Product + No Remainder,1,32,64,2,2,4.558003,241.226617,1.237577
Inner Product + Remainder,1,32,64,2,2,4.559878,241.127426,1.237069
cuBLAS,1,32,8,2,4,0.131363,8370.006364,42.941079
Outer-Product + No Remainder,1,32,8,2,4,0.760620,1445.546806,7.416164
Inner Product + No Remainder,1,32,8,2,4,0.750794,1464.465706,7.513225
Inner Product + Remainder,1,32,8,2,4,0.747872,1470.186776,7.542576
cuBLAS,1,32,16,2,4,0.121221,9070.307050,46.533868
Outer-Product + No Remainder,1,32,16,2,4,0.930287,1181.905612,6.063592
Inner Product + No Remainder,1,32,16,2,4,0.898980,1223.066252,6.274760
Inner Product + Remainder,1,32,16,2,4,0.904170,1216.044610,6.238737
cuBLAS,1,32,32,2,4,0.122544,8972.375223,46.031443
Outer-Product + No Remainder,1,32,32,2,4,1.440974,763.033635,3.914631
Inner Product + No Remainder,1,32,32,2,4,1.223886,898.377675,4.608994
Inner Product + Remainder,1,32,32,2,4,1.194440,920.524457,4.722615
cuBLAS,1,32,24,2,4,0.139925,7857.873309,40.313656
Outer-Product + No Remainder,1,32,24,2,4,0.914292,1202.582425,6.169671
Inner Product + No Remainder,1,32,24,2,4,0.842249,1305.446914,6.697402
Inner Product + Remainder,1,32,24,2,4,0.829459,1325.577240,6.800678
cuBLAS,1,32,64,2,4,0.129827,8469.070294,43.449312
Outer-Product + No Remainder,1,32,64,2,4,2.549935,431.192094,2.212167
Inner Product + No Remainder,1,32,64,2,4,2.543581,432.269194,2.217693
Inner Product + Remainder,1,32,64,2,4,2.505699,438.804400,2.251221
cuBLAS,1,32,8,2,8,0.130192,8445.279889,43.327259
Outer-Product + No Remainder,1,32,8,2,8,0.897504,1225.077428,6.285078
Inner Product + No Remainder,1,32,8,2,8,0.881458,1247.378773,6.399492
Inner Product + Remainder,1,32,8,2,8,0.881072,1247.924283,6.402291
cuBLAS,1,32,16,2,8,0.137394,8002.606991,41.056191
Outer-Product + No Remainder,1,32,16,2,8,1.287018,854.309154,4.382907
Inner Product + No Remainder,1,32,16,2,8,1.263336,870.323865,4.465068
Inner Product + Remainder,1,32,16,2,8,1.258858,873.419623,4.480950
