Identifier,tY,tX,bK,tM,tN,time,GFLOPs,percentagePeak
cuBLAS,1,32,32,2,8,0.126184,8713.538310,44.703519
Outer-Product + No Remainder,1,32,32,2,8,2.313769,475.203708,2.437962
Inner Product + No Remainder,1,32,32,2,8,2.732735,402.348483,2.064189
Inner Product + Remainder,1,32,32,2,8,2.509124,438.205415,2.248148
cuBLAS,1,32,24,2,8,0.137066,8021.770833,41.154508
Outer-Product + No Remainder,1,32,24,2,8,1.919104,572.929563,2.939330
Inner Product + No Remainder,1,32,24,2,8,1.891443,581.308212,2.982316
Inner Product + Remainder,1,32,24,2,8,1.870729,587.745005,3.015339
cuBLAS,1,32,24,2,8,0.128403,8563.000049,43.931205
Outer-Product + No Remainder,1,32,24,2,8,1.921646,572.171935,2.935443
Inner Product + No Remainder,1,32,24,2,8,1.894691,580.311757,2.977204
Inner Product + Remainder,1,32,24,2,8,1.870951,587.675404,3.014982
cuBLAS,1,32,8,2,12,0.133410,8241.607489,42.282348
Outer-Product + No Remainder,1,32,8,2,12,1.110923,989.728158,5.077654
Inner Product + No Remainder,1,32,8,2,12,1.093067,1005.895898,5.160600
Inner Product + Remainder,1,32,8,2,12,1.106361,993.809461,5.098592
cuBLAS,1,32,16,2,12,0.128734,8540.990363,43.818287
Outer-Product + No Remainder,1,32,16,2,12,1.948864,564.180890,2.894447
Inner Product + No Remainder,1,32,16,2,12,1.922709,571.855422,2.933820
Inner Product + Remainder,1,32,16,2,12,1.946820,564.773182,2.897485
cuBLAS,1,32,16,2,12,0.123241,8921.666679,45.771291
Outer-Product + No Remainder,1,32,16,2,12,1.952119,563.239952,2.889619
Inner Product + No Remainder,1,32,16,2,12,1.922802,571.827794,2.933678
Inner Product + Remainder,1,32,16,2,12,1.946893,564.751971,2.897376
cuBLAS,1,32,24,2,12,0.118594,9271.218645,47.564615
Outer-Product + No Remainder,1,32,24,2,12,2.792156,393.785852,2.020260
Inner Product + No Remainder,1,32,24,2,12,2.773423,396.445688,2.033906
Inner Product + Remainder,1,32,24,2,12,2.802053,392.395018,2.013125
cuBLAS,1,32,24,2,12,0.126037,8723.710294,44.755705
Outer-Product + No Remainder,1,32,24,2,12,2.799556,392.744981,2.014920
Inner Product + No Remainder,1,32,24,2,12,2.774528,396.287835,2.033096
Inner Product + Remainder,1,32,24,2,12,2.802828,392.286566,2.012568
cuBLAS,1,32,8,4,2,0.122580,8969.737706,46.017912
Outer-Product + No Remainder,1,32,8,4,2,0.685857,1603.121676,8.224579
Inner Product + No Remainder,1,32,8,4,2,0.616756,1782.733803,9.146052
Inner Product + Remainder,1,32,8,4,2,1.241649,885.525024,4.543055
cuBLAS,1,32,16,4,2,0.134156,8195.795055,42.047314
Outer-Product + No Remainder,1,32,16,4,2,0.778660,1412.055295,7.244341
Inner Product + No Remainder,1,32,16,4,2,0.757928,1450.681582,7.442507
Inner Product + Remainder,1,32,16,4,2,1.270825,865.195101,4.438755
cuBLAS,1,32,32,4,2,0.128548,8553.292081,43.881399
Outer-Product + No Remainder,1,32,32,4,2,1.315968,835.515773,4.286490
Inner Product + No Remainder,1,32,32,4,2,1.152882,953.707131,4.892853
Inner Product + Remainder,1,32,32,4,2,1.230996,893.188825,4.582373
cuBLAS,1,32,24,4,2,0.133098,8260.894552,42.381297
Outer-Product + No Remainder,1,32,24,4,2,1.019433,1078.552013,5.533352
Inner Product + No Remainder,1,32,24,4,2,0.997761,1101.979176,5.653541
Inner Product + Remainder,1,32,24,4,2,1.279735,859.171098,4.407850
cuBLAS,1,32,64,4,2,0.110639,9937.852427,50.984681
Outer-Product + No Remainder,1,32,64,4,2,2.330171,471.858843,2.420802
Inner Product + No Remainder,1,32,64,4,2,2.312474,475.469758,2.439327
Inner Product + Remainder,1,32,64,4,2,2.307188,476.559135,2.444916
cuBLAS,1,32,8,4,4,0.128263,8572.325197,43.979046
Outer-Product + No Remainder,1,32,8,4,4,0.378533,2904.664098,14.901949
Inner Product + No Remainder,1,32,8,4,4,0.386074,2847.927454,14.610870
Inner Product + Remainder,1,32,8,4,4,0.385547,2851.821441,14.630848
cuBLAS,1,32,16,4,4,0.130073,8453.046083,43.367102
Outer-Product + No Remainder,1,32,16,4,4,0.477052,2304.803082,11.824451
Inner Product + No Remainder,1,32,16,4,4,0.464611,2366.519509,12.141078
Inner Product + Remainder,1,32,16,4,4,0.476992,2305.096232,11.825955
cuBLAS,1,32,32,4,4,0.132273,8312.418244,42.645632
Outer-Product + No Remainder,1,32,32,4,4,0.772390,1423.518135,7.303149
Inner Product + No Remainder,1,32,32,4,4,0.760089,1446.556331,7.421343
Inner Product + Remainder,1,32,32,4,4,0.675545,1627.591585,8.350118
cuBLAS,1,32,24,4,4,0.119387,9209.664520,47.248821
Outer-Product + No Remainder,1,32,24,4,4,0.555139,1980.606724,10.161210
Inner Product + No Remainder,1,32,24,4,4,0.475192,2313.827454,11.870749
Inner Product + Remainder,1,32,24,4,4,0.566288,1941.611796,9.961152
cuBLAS,1,32,64,4,4,0.119825,9175.984025,47.076028
Outer-Product + No Remainder,1,32,64,4,4,1.358439,809.393616,4.152474
Inner Product + No Remainder,1,32,64,4,4,1.346766,816.408816,4.188465
Inner Product + Remainder,1,32,64,4,4,1.377258,798.333990,4.095734
cuBLAS,1,32,8,4,8,0.130428,8430.024951,43.248996
Outer-Product + No Remainder,1,32,8,4,8,0.455825,2412.136809,12.375111
Inner Product + No Remainder,1,32,8,4,8,0.445446,2468.338850,12.663447
Inner Product + Remainder,1,32,8,4,8,0.443475,2479.307757,12.719722
cuBLAS,1,32,16,4,8,0.113153,9717.032748,49.851799
Outer-Product + No Remainder,1,32,16,4,8,0.654190,1680.721367,8.622692
Inner Product + No Remainder,1,32,16,4,8,0.685079,1604.941274,8.233914
Inner Product + Remainder,1,32,16,4,8,0.686587,1601.416522,8.215830
cuBLAS,1,32,32,4,8,0.109813,10012.564623,51.367981
Outer-Product + No Remainder,1,32,32,4,8,1.226721,896.301518,4.598342
Inner Product + No Remainder,1,32,32,4,8,1.270525,865.399427,4.439804
Inner Product + Remainder,1,32,32,4,8,1.366601,804.559605,4.127674
cuBLAS,1,32,24,4,8,0.130696,8412.743249,43.160334
Outer-Product + No Remainder,1,32,24,4,8,0.969456,1134.152782,5.818603
Inner Product + No Remainder,1,32,24,4,8,0.946439,1161.735677,5.960113
Inner Product + Remainder,1,32,24,4,8,0.952569,1154.258894,5.921754
cuBLAS,1,32,24,4,8,0.128407,8562.687661,43.929602
Outer-Product + No Remainder,1,32,24,4,8,0.948446,1159.277312,5.947501
Inner Product + No Remainder,1,32,24,4,8,0.945540,1162.839615,5.965777
Inner Product + Remainder,1,32,24,4,8,0.953650,1152.951242,5.915046
cuBLAS,1,32,8,4,12,0.128616,8548.808915,43.858399
Outer-Product + No Remainder,1,32,8,4,12,0.586962,1873.225992,9.610309
Inner Product + No Remainder,1,32,8,4,12,0.553342,1987.037937,10.194204
Inner Product + Remainder,1,32,8,4,12,0.562087,1956.122167,10.035595
cuBLAS,1,32,16,4,12,0.130607,8418.456597,43.189646
Outer-Product + No Remainder,1,32,16,4,12,1.012983,1085.419721,5.568585
Inner Product + No Remainder,1,32,16,4,12,0.980531,1121.342770,5.752883
Inner Product + Remainder,1,32,16,4,12,0.995588,1104.383886,5.665878
cuBLAS,1,32,16,4,12,0.120003,9162.379615,47.006233
Outer-Product + No Remainder,1,32,16,4,12,1.000121,1099.378567,5.640199
Inner Product + No Remainder,1,32,16,4,12,0.981250,1120.521474,5.748670
Inner Product + Remainder,1,32,16,4,12,0.995173,1104.844200,5.668240
cuBLAS,1,32,24,4,12,0.127403,8630.172892,44.275825
Outer-Product + No Remainder,1,32,24,4,12,1.440732,763.161577,3.915288
Inner Product + No Remainder,1,32,24,4,12,1.411351,779.049191,3.996797
Inner Product + Remainder,1,32,24,4,12,1.432519,767.537050,3.937735
cuBLAS,1,32,24,4,12,0.123770,8883.516826,45.575569
Outer-Product + No Remainder,1,32,24,4,12,1.446169,760.292463,3.900568
Inner Product + No Remainder,1,32,24,4,12,1.409508,780.067913,4.002023
Inner Product + Remainder,1,32,24,4,12,1.431970,767.831550,3.939246
cuBLAS,1,32,8,8,2,0.135526,8112.924744,41.622160
Outer-Product + No Remainder,1,32,8,8,2,0.394416,2787.698421,14.301874
Inner Product + No Remainder,1,32,8,8,2,0.371603,2958.838012,15.179881
Inner Product + Remainder,1,32,8,8,2,0.849729,1293.955071,6.638445
cuBLAS,1,32,16,8,2,0.113216,9711.635792,49.824110
Outer-Product + No Remainder,1,32,16,8,2,0.442786,2483.166356,12.739518
Inner Product + No Remainder,1,32,16,8,2,0.417844,2631.391912,13.499967
Inner Product + Remainder,1,32,16,8,2,0.860759,1277.374849,6.553383
cuBLAS,1,32,32,8,2,0.131139,8384.307073,43.014447
Outer-Product + No Remainder,1,32,32,8,2,0.708593,1551.682709,7.960679
Inner Product + No Remainder,1,32,32,8,2,0.684826,1605.533318,8.236951
Inner Product + Remainder,1,32,32,8,2,0.582367,1888.003291,9.686122
cuBLAS,1,32,24,8,2,0.117530,9355.191323,47.995425
Outer-Product + No Remainder,1,32,24,8,2,0.557331,1972.815362,10.121237
Inner Product + No Remainder,1,32,24,8,2,0.528708,2079.618334,10.669174
Inner Product + Remainder,1,32,24,8,2,0.859187,1279.710922,6.565368
cuBLAS,1,32,64,8,2,0.129682,8478.516085,43.497772
Outer-Product + No Remainder,1,32,64,8,2,1.382419,795.353274,4.080442
Inner Product + No Remainder,1,32,64,8,2,1.339724,820.700255,4.210481
Inner Product + Remainder,1,32,64,8,2,1.330262,826.537370,4.240428
cuBLAS,1,32,8,8,4,0.129726,8475.677843,43.483211
Outer-Product + No Remainder,1,32,8,8,4,0.244178,4502.917154,23.101550
Inner Product + No Remainder,1,32,8,8,4,0.223289,4924.162498,25.262687
Inner Product + Remainder,1,32,8,8,4,0.253112,4343.966200,22.286076
cuBLAS,1,32,16,8,4,0.125214,8781.031709,45.049784
Outer-Product + No Remainder,1,32,16,8,4,0.247710,4438.710944,22.772150
Inner Product + No Remainder,1,32,16,8,4,0.241682,4549.420251,23.340127
Inner Product + Remainder,1,32,16,8,4,0.243239,4520.284279,23.190650
cuBLAS,1,32,32,8,4,0.126226,8710.624801,44.688572
Outer-Product + No Remainder,1,32,32,8,4,0.429809,2558.142494,13.124172
Inner Product + No Remainder,1,32,32,8,4,0.425781,2582.342938,13.248328
Inner Product + Remainder,1,32,32,8,4,0.388545,2829.818106,14.517963
cuBLAS,1,32,24,8,4,0.129787,8471.630206,43.462445
Outer-Product + No Remainder,1,32,24,8,4,0.338501,3248.180649,16.664310
Inner Product + No Remainder,1,32,24,8,4,0.317708,3460.761456,17.754925
Inner Product + Remainder,1,32,24,8,4,0.317068,3467.746143,17.790758
cuBLAS,1,32,64,8,4,0.139560,7878.429999,40.419119
Outer-Product + No Remainder,1,32,64,8,4,0.799172,1375.813297,7.058407
Inner Product + No Remainder,1,32,64,8,4,0.760771,1445.259308,7.414689
Inner Product + Remainder,1,32,64,8,4,0.779761,1410.061933,7.234114
cuBLAS,1,32,8,8,8,0.116680,9423.339215,48.345047
Outer-Product + No Remainder,1,32,8,8,8,0.236769,4643.821561,23.824439
Inner Product + No Remainder,1,32,8,8,8,0.289577,3796.954180,19.479712
Inner Product + Remainder,1,32,8,8,8,0.282887,3886.758432,19.940439
cuBLAS,1,32,16,8,8,0.109018,10085.643216,51.742900
Outer-Product + No Remainder,1,32,16,8,8,0.392882,2798.580531,14.357703
Inner Product + No Remainder,1,32,16,8,8,0.357915,3071.989268,15.760386
Inner Product + Remainder,1,32,16,8,8,0.310831,3537.335007,18.147774
cuBLAS,1,32,32,8,8,0.129682,8478.550004,43.497946
Outer-Product + No Remainder,1,32,32,8,8,0.680947,1614.680279,8.283878
Inner Product + No Remainder,1,32,32,8,8,0.676408,1625.514922,8.339464
Inner Product + Remainder,1,32,32,8,8,0.675924,1626.679198,8.345437
cuBLAS,1,32,24,8,8,0.111126,9894.260525,50.761040
Outer-Product + No Remainder,1,32,24,8,8,0.527869,2082.925822,10.686143
Inner Product + No Remainder,1,32,24,8,8,0.506425,2171.123052,11.138626
Inner Product + Remainder,1,32,24,8,8,0.491068,2239.022969,11.486976
cuBLAS,1,32,24,8,8,0.132682,8286.827419,42.514342
Outer-Product + No Remainder,1,32,24,8,8,0.523902,2098.696739,10.767053
Inner Product + No Remainder,1,32,24,8,8,0.501309,2193.281954,11.252309
Inner Product + Remainder,1,32,24,8,8,0.494239,2224.655677,11.413267
cuBLAS,1,32,8,8,12,0.122873,8948.379876,45.908339
Outer-Product + No Remainder,1,32,8,8,12,0.309059,3557.609477,18.251789
Inner Product + No Remainder,1,32,8,8,12,0.293018,3752.365696,19.250957
Inner Product + Remainder,1,32,8,8,12,0.410136,2680.843518,13.753671
cuBLAS,1,32,16,8,12,0.119457,9204.239589,47.220989
Outer-Product + No Remainder,1,32,16,8,12,0.531754,2067.705766,10.608058
Inner Product + No Remainder,1,32,16,8,12,0.514075,2138.817323,10.972886
Inner Product + Remainder,1,32,16,8,12,0.560043,1963.264050,10.072236
cuBLAS,1,32,16,8,12,0.125508,8760.523713,44.944571
Outer-Product + No Remainder,1,32,16,8,12,0.530305,2073.358782,10.637060
Inner Product + No Remainder,1,32,16,8,12,0.514303,2137.865987,10.968005
Inner Product + Remainder,1,32,16,8,12,0.559277,1965.953386,10.086033
cuBLAS,1,32,24,8,12,0.119847,9174.303458,47.067406
Outer-Product + No Remainder,1,32,24,8,12,0.759480,1447.716057,7.427293
Inner Product + No Remainder,1,32,24,8,12,0.876373,1254.615891,6.436621
Inner Product + Remainder,1,32,24,8,12,0.880174,1249.198708,6.408829
cuBLAS,1,32,24,8,12,0.127618,8615.619870,44.201163
Outer-Product + No Remainder,1,32,24,8,12,0.770721,1426.600668,7.318964
Inner Product + No Remainder,1,32,24,8,12,0.872747,1259.828142,6.463362
Inner Product + Remainder,1,32,24,8,12,0.880294,1249.028167,6.407954
cuBLAS,1,32,8,12,2,0.134186,8193.933903,42.037765
Outer-Product + No Remainder,1,32,8,12,2,0.334939,3282.725048,16.841535
Inner Product + No Remainder,1,32,8,12,2,0.261286,4208.080838,21.588936
Inner Product + Remainder,1,32,8,12,2,0.590719,1861.310581,9.549179
cuBLAS,1,32,16,12,2,0.142338,7724.638016,39.630112
Outer-Product + No Remainder,1,32,16,12,2,0.345325,3183.995203,16.335016
Inner Product + No Remainder,1,32,16,12,2,0.284083,3870.393980,19.856484
Inner Product + Remainder,1,32,16,12,2,0.583762,1883.491916,9.662977
cuBLAS,1,32,32,12,2,0.132904,8272.973859,42.443268
Outer-Product + No Remainder,1,32,32,12,2,0.552831,1988.873914,10.203623
Inner Product + No Remainder,1,32,32,12,2,0.510579,2153.461715,11.048017
Inner Product + Remainder,1,32,32,12,2,0.554986,1981.150836,10.164001
cuBLAS,1,32,24,12,2,0.130367,8433.940127,43.269082
Outer-Product + No Remainder,1,32,24,12,2,0.384481,2859.732011,14.671432
Inner Product + No Remainder,1,32,24,12,2,0.370259,2969.575548,15.234968
Inner Product + Remainder,1,32,24,12,2,0.580051,1895.544539,9.724811
cuBLAS,1,32,64,12,2,0.124762,8812.875892,45.213156
Outer-Product + No Remainder,1,32,64,12,2,0.943766,1165.026296,5.976995
Inner Product + No Remainder,1,32,64,12,2,0.838047,1311.992897,6.730985
Inner Product + Remainder,1,32,64,12,2,0.825567,1331.826505,6.832739
cuBLAS,1,32,8,12,4,0.120608,9116.421390,46.770451
Outer-Product + No Remainder,1,32,8,12,4,0.204033,5388.881351,27.646858
Inner Product + No Remainder,1,32,8,12,4,0.177734,6186.278095,31.737784
Inner Product + Remainder,1,32,8,12,4,0.174695,6293.880036,32.289820
cuBLAS,1,32,16,12,4,0.105356,10436.178169,53.541268
Outer-Product + No Remainder,1,32,16,12,4,0.165380,6648.412358,34.108696
Inner Product + No Remainder,1,32,16,12,4,0.202612,5426.681142,27.840785
Inner Product + Remainder,1,32,16,12,4,0.210054,5234.424781,26.854442
cuBLAS,1,32,32,12,4,0.115672,9505.402343,48.766060
Outer-Product + No Remainder,1,32,32,12,4,0.323977,3393.794792,17.411362
Inner Product + No Remainder,1,32,32,12,4,0.334325,3288.755232,16.872472
Inner Product + Remainder,1,32,32,12,4,0.293988,3739.984931,19.187439
cuBLAS,1,32,24,12,4,0.113141,9718.104733,49.857298
Outer-Product + No Remainder,1,32,24,12,4,0.241612,4550.737589,23.346886
Inner Product + No Remainder,1,32,24,12,4,0.223951,4909.610617,25.188031
Inner Product + Remainder,1,32,24,12,4,0.223140,4927.455331,25.279580
cuBLAS,1,32,64,12,4,0.112368,9784.920648,50.200087
Outer-Product + No Remainder,1,32,64,12,4,0.610731,1800.320232,9.236277
Inner Product + No Remainder,1,32,64,12,4,0.586292,1875.366615,9.621291
Inner Product + Remainder,1,32,64,12,4,0.587367,1871.934470,9.603683
cuBLAS,1,32,8,12,8,0.128918,8528.764359,43.755563
Outer-Product + No Remainder,1,32,8,12,8,0.245658,4475.785696,22.962356
Inner Product + No Remainder,1,32,8,12,8,0.270488,4064.910888,20.854424
Inner Product + Remainder,1,32,8,12,8,0.227698,4828.817142,24.773532
cuBLAS,1,32,16,12,8,0.123298,8917.531249,45.750074
Outer-Product + No Remainder,1,32,16,12,8,0.243663,4512.420846,23.150307
Inner Product + No Remainder,1,32,16,12,8,0.248609,4422.658889,22.689797
Inner Product + Remainder,1,32,16,12,8,0.270161,4069.835538,20.879689
cuBLAS,1,32,32,12,8,0.121374,9058.855111,46.475116
Outer-Product + No Remainder,1,32,32,12,8,0.501008,2194.598830,11.259065
Inner Product + No Remainder,1,32,32,12,8,0.524884,2094.768869,10.746902
Inner Product + Remainder,1,32,32,12,8,0.529306,2077.272087,10.657137
cuBLAS,1,32,24,12,8,0.130589,8419.644863,43.195742
Outer-Product + No Remainder,1,32,24,12,8,0.368224,2985.989747,15.319179
Inner Product + No Remainder,1,32,24,12,8,0.359091,3061.926147,15.708759
Inner Product + Remainder,1,32,24,12,8,0.302816,3630.961193,18.628109
cuBLAS,1,32,24,12,8,0.122757,8956.842765,45.951756
Outer-Product + No Remainder,1,32,24,12,8,0.376215,2922.562409,14.993774
Inner Product + No Remainder,1,32,24,12,8,0.351691,3126.355582,16.039305
Inner Product + Remainder,1,32,24,12,8,0.302609,3633.442769,18.640840
cuBLAS,1,32,8,12,12,0.122547,8972.194798,46.030518
Outer-Product + No Remainder,1,32,8,12,12,0.296328,3710.459274,19.035962
Inner Product + No Remainder,1,32,8,12,12,0.284695,3862.074738,19.813803
Inner Product + Remainder,1,32,8,12,12,0.285109,3856.462967,19.785013
cuBLAS,1,32,16,12,12,0.128269,8571.925452,43.976995
Outer-Product + No Remainder,1,32,16,12,12,0.389760,2820.999162,14.472719
Inner Product + No Remainder,1,32,16,12,12,0.466678,2356.038311,12.087306
Inner Product + Remainder,1,32,16,12,12,0.415416,2646.770415,13.578864
cuBLAS,1,32,16,12,12,0.151700,7247.926390,37.184414
Outer-Product + No Remainder,1,32,16,12,12,0.389228,2824.849265,14.492471
Inner Product + No Remainder,1,32,16,12,12,0.466195,2358.479595,12.099831
Inner Product + Remainder,1,32,16,12,12,0.417702,2632.285879,13.504553
cuBLAS,1,32,24,12,12,0.123838,8878.634409,45.550520
Outer-Product + No Remainder,1,32,24,12,12,0.536848,2048.086855,10.507407
Inner Product + No Remainder,1,32,24,12,12,0.601328,1828.471981,9.380705
Inner Product + Remainder,1,32,24,12,12,0.618322,1778.218452,9.122887
cuBLAS,1,32,24,12,12,0.129572,8485.716945,43.534715
Outer-Product + No Remainder,1,32,24,12,12,0.548355,2005.108998,10.286915
Inner Product + No Remainder,1,32,24,12,12,0.601399,1828.256164,9.379598
Inner Product + Remainder,1,32,24,12,12,0.617056,1781.867639,9.141608
cuBLAS,1,32,8,16,2,0.169046,6504.212448,33.368899
Outer-Product + No Remainder,1,32,8,16,2,0.352058,3123.098396,16.022594
Inner Product + No Remainder,1,32,8,16,2,0.218913,5022.585594,25.767632
Inner Product + Remainder,1,32,8,16,2,0.445682,2467.030323,12.656734
cuBLAS,1,32,16,16,2,0.130852,8402.722130,43.108922
Outer-Product + No Remainder,1,32,16,16,2,0.369437,2976.183297,15.268868
Inner Product + No Remainder,1,32,16,16,2,0.283106,3883.741393,19.924961
Inner Product + Remainder,1,32,16,16,2,0.450539,2440.435734,12.520294
cuBLAS,1,32,32,16,2,0.134480,8176.023667,41.945880
Outer-Product + No Remainder,1,32,32,16,2,0.467918,2349.797686,12.055289
Inner Product + No Remainder,1,32,32,16,2,0.444835,2471.729517,12.680843
Inner Product + Remainder,1,32,32,16,2,0.444985,2470.895847,12.676566
cuBLAS,1,32,24,16,2,0.134298,8187.133958,42.002879
Outer-Product + No Remainder,1,32,24,16,2,0.374336,2937.231638,15.069032
Inner Product + No Remainder,1,32,24,16,2,0.295453,3721.446091,19.092328
Inner Product + Remainder,1,32,24,16,2,0.446123,2464.594438,12.644237
cuBLAS,1,32,64,16,2,0.123663,8891.201857,45.614995
Outer-Product + No Remainder,1,32,64,16,2,0.871605,1261.479815,6.471836
Inner Product + No Remainder,1,32,64,16,2,0.833297,1319.470714,6.769349
Inner Product + Remainder,1,32,64,16,2,0.754132,1457.983307,7.479968
cuBLAS,1,32,8,16,4,0.123335,8914.810063,45.736114
Outer-Product + No Remainder,1,32,8,16,4,0.163153,6739.145044,34.574186
Inner Product + No Remainder,1,32,8,16,4,0.140510,7825.131896,40.145681
Inner Product + Remainder,1,32,8,16,4,0.137057,8022.285245,41.157147
cuBLAS,1,32,16,16,4,0.120533,9122.097200,46.799570
Outer-Product + No Remainder,1,32,16,16,4,0.176325,6235.717475,31.991426
Inner Product + No Remainder,1,32,16,16,4,0.120322,9138.089827,46.881618
Inner Product + Remainder,1,32,16,16,4,0.157609,6976.201224,35.790368
cuBLAS,1,32,32,16,4,0.128934,8527.737854,43.750297
Outer-Product + No Remainder,1,32,32,16,4,0.272778,4030.785920,20.679351
Inner Product + No Remainder,1,32,32,16,4,0.253696,4333.979064,22.234838
Inner Product + Remainder,1,32,32,16,4,0.244807,4491.332955,23.042119
cuBLAS,1,32,24,16,4,0.131130,8384.909038,43.017535
Outer-Product + No Remainder,1,32,24,16,4,0.201506,5456.463565,27.993579
Inner Product + No Remainder,1,32,24,16,4,0.222949,4931.677562,25.301242
Inner Product + Remainder,1,32,24,16,4,0.230824,4763.421967,24.438032
cuBLAS,1,32,64,16,4,0.120638,9114.112350,46.758605
Outer-Product + No Remainder,1,32,64,16,4,0.512065,2147.212322,11.015955
Inner Product + No Remainder,1,32,64,16,4,0.643680,1708.165151,8.763489
Inner Product + Remainder,1,32,64,16,4,0.642269,1711.917033,8.782737
cuBLAS,1,32,8,16,8,0.134167,8195.122072,42.043861
Outer-Product + No Remainder,1,32,8,16,8,0.227215,4839.070617,24.826136
Inner Product + No Remainder,1,32,8,16,8,0.184181,5969.742687,30.626881
Inner Product + Remainder,1,32,8,16,8,0.199247,5518.321311,28.310931
cuBLAS,1,32,16,16,8,0.130689,8413.204904,43.162703
Outer-Product + No Remainder,1,32,16,16,8,0.226895,4845.894537,24.861145
Inner Product + No Remainder,1,32,16,16,8,0.179270,6133.265868,31.465813
Inner Product + Remainder,1,32,16,16,8,0.218515,5031.753902,25.814669
cuBLAS,1,32,32,16,8,0.125893,8733.693278,44.806921
Outer-Product + No Remainder,1,32,32,16,8,0.423493,2596.292073,13.319892
Inner Product + No Remainder,1,32,32,16,8,0.436348,2519.802019,12.927471
Inner Product + Remainder,1,32,32,16,8,0.437704,2512.000170,12.887445
cuBLAS,1,32,24,16,8,0.129186,8511.066828,43.664769
Outer-Product + No Remainder,1,32,24,16,8,0.294587,3732.377913,19.148413
Inner Product + No Remainder,1,32,24,16,8,0.328600,3346.053064,17.166430
Inner Product + Remainder,1,32,24,16,8,0.312026,3523.781381,18.078239
cuBLAS,1,32,24,16,8,0.124535,8828.929375,45.295516
Outer-Product + No Remainder,1,32,24,16,8,0.315314,3487.034488,17.889714
Inner Product + No Remainder,1,32,24,16,8,0.328184,3350.288705,17.188160
Inner Product + Remainder,1,32,24,16,8,0.310844,3537.177340,18.146965
