Identifier,tY,tX,bK,tM,tN,time,GFLOPs,percentagePeak
Inner Product + Remainder,1,32,64,4,4,11.581189,759.515511,3.896582
cuBLAS,1,32,8,4,8,1.393449,6312.462066,32.385153
Outer-Product + No Remainder,1,32,8,4,8,3.731817,2357.053600,12.092515
Inner Product + No Remainder,1,32,8,4,8,3.754332,2342.918552,12.019997
Inner Product + Remainder,1,32,8,4,8,3.758717,2340.184942,12.005973
cuBLAS,1,32,16,4,8,1.469201,5986.989706,30.715365
Outer-Product + No Remainder,1,32,16,4,8,5.505104,1597.807016,8.197312
Inner Product + No Remainder,1,32,16,4,8,5.529530,1590.748827,8.161101
Inner Product + Remainder,1,32,16,4,8,5.540890,1587.487494,8.144370
cuBLAS,1,32,32,4,8,1.391599,6320.852671,32.428199
Outer-Product + No Remainder,1,32,32,4,8,11.417096,770.431750,3.952586
Inner Product + No Remainder,1,32,32,4,8,11.422029,770.098972,3.950879
Inner Product + Remainder,1,32,32,4,8,11.446363,768.461808,3.942480
cuBLAS,1,32,8,4,12,1.323798,6644.588674,34.089079
Outer-Product + No Remainder,1,32,8,4,12,4.494095,1957.255812,10.041411
Inner Product + No Remainder,1,32,8,4,12,4.501976,1953.829570,10.023833
Inner Product + Remainder,1,32,8,4,12,4.627576,1900.799387,9.751770
cuBLAS,1,32,16,4,12,1.477473,5953.470172,30.543398
Outer-Product + No Remainder,1,32,16,4,12,7.713822,1140.302786,5.850155
Inner Product + No Remainder,1,32,16,4,12,7.729781,1137.948578,5.838077
Inner Product + Remainder,1,32,16,4,12,7.999615,1099.564579,5.641153
cuBLAS,1,32,16,4,12,1.387230,6340.758796,32.530325
Outer-Product + No Remainder,1,32,16,4,12,7.727909,1138.224171,5.839491
Inner Product + No Remainder,1,32,16,4,12,7.730000,1137.916375,5.837912
Inner Product + Remainder,1,32,16,4,12,7.982192,1101.964616,5.653466
cuBLAS,1,32,8,8,2,1.393825,6310.757656,32.376408
Outer-Product + No Remainder,1,32,8,8,2,3.083587,2852.552551,14.634599
Inner Product + No Remainder,1,32,8,8,2,3.038261,2895.107316,14.852920
Inner Product + Remainder,1,32,8,8,2,7.034369,1250.445272,6.415224
cuBLAS,1,32,16,8,2,1.407188,6250.831719,32.068967
Outer-Product + No Remainder,1,32,16,8,2,3.418593,2573.015375,13.200475
Inner Product + No Remainder,1,32,16,8,2,3.413403,2576.927909,13.220547
Inner Product + Remainder,1,32,16,8,2,6.963610,1263.151236,6.480411
cuBLAS,1,32,32,8,2,1.357716,6478.596545,33.237481
Outer-Product + No Remainder,1,32,32,8,2,5.728635,1535.460477,7.877453
Inner Product + No Remainder,1,32,32,8,2,5.720732,1537.581751,7.888336
Inner Product + Remainder,1,32,32,8,2,5.716564,1538.702808,7.894087
cuBLAS,1,32,64,8,2,1.357959,6477.435867,33.231526
Outer-Product + No Remainder,1,32,64,8,2,10.813812,813.412829,4.173094
Inner Product + No Remainder,1,32,64,8,2,10.794034,814.903203,4.180740
Inner Product + Remainder,1,32,64,8,2,10.755639,817.812246,4.195665
cuBLAS,1,32,8,8,4,1.379451,6376.516401,32.713774
Outer-Product + No Remainder,1,32,8,8,4,1.835644,4791.829999,24.583775
Inner Product + No Remainder,1,32,8,8,4,1.851518,4750.746526,24.373002
Inner Product + Remainder,1,32,8,8,4,2.081918,4224.995007,21.675712
cuBLAS,1,32,16,8,4,1.398870,6287.996728,32.259637
Outer-Product + No Remainder,1,32,16,8,4,1.939952,4534.180407,23.261942
Inner Product + No Remainder,1,32,16,8,4,1.979779,4442.966464,22.793982
Inner Product + Remainder,1,32,16,8,4,2.028505,4336.244702,22.246462
cuBLAS,1,32,32,8,4,1.491298,5898.280490,30.260255
Outer-Product + No Remainder,1,32,32,8,4,3.392912,2592.490680,13.300390
Inner Product + No Remainder,1,32,32,8,4,3.433040,2562.188082,13.144927
Inner Product + Remainder,1,32,32,8,4,3.281718,2680.331957,13.751046
cuBLAS,1,32,64,8,4,1.390994,6323.603444,32.442312
Outer-Product + No Remainder,1,32,64,8,4,6.408895,1372.482100,7.041316
Inner Product + No Remainder,1,32,64,8,4,6.403796,1373.574855,7.046923
Inner Product + Remainder,1,32,64,8,4,6.537052,1345.574939,6.903273
cuBLAS,1,32,8,8,8,1.381042,6369.170175,32.676085
Outer-Product + No Remainder,1,32,8,8,8,2.020516,4353.390250,22.334424
Inner Product + No Remainder,1,32,8,8,8,2.382658,3691.714536,18.939795
Inner Product + Remainder,1,32,8,8,8,2.359070,3728.626898,19.129169
cuBLAS,16,16,8,2,2,1.427920,6160.072340,31.603340
Outer-Product + No Remainder,16,16,8,2,2,0.981339,8963.356676,45.985175
Inner Product + No Remainder,16,16,8,2,2,0.960903,9153.986285,46.963172
Inner Product + Remainder,16,16,8,2,2,1.125146,7817.731419,40.107714
cuBLAS,16,16,16,2,2,1.377378,6386.112130,32.763003
Outer-Product + No Remainder,16,16,16,2,2,0.885881,9929.198570,50.940284
Inner Product + No Remainder,16,16,16,2,2,0.879302,10003.494821,51.321450
Inner Product + Remainder,16,16,16,2,2,0.927877,9479.809218,48.634758
cuBLAS,16,16,32,2,2,1.729618,5085.570728,26.090768
Outer-Product + No Remainder,16,16,32,2,2,0.855808,10278.119574,52.730372
Inner Product + No Remainder,16,16,32,2,2,0.863215,10189.923989,52.277897
Inner Product + Remainder,16,16,32,2,2,0.848905,10361.694908,53.159142
cuBLAS,16,16,64,2,2,1.325551,6635.799319,34.043986
Outer-Product + No Remainder,16,16,64,2,2,0.876012,10041.063557,51.514191
Inner Product + No Remainder,16,16,64,2,2,0.866898,10146.623898,52.055752
Inner Product + Remainder,16,16,64,2,2,0.870844,10100.655855,51.819920
cuBLAS,16,16,8,2,4,1.307910,6725.303079,34.503172
Outer-Product + No Remainder,16,16,8,2,4,0.785437,11198.985629,57.454739
Inner Product + No Remainder,16,16,8,2,4,0.813254,10815.922277,55.489489
Inner Product + Remainder,16,16,8,2,4,0.805705,10917.267280,56.009424
cuBLAS,16,16,16,2,4,1.321223,6657.540257,34.155525
Outer-Product + No Remainder,16,16,16,2,4,0.742413,11847.979728,60.784307
Inner Product + No Remainder,16,16,16,2,4,0.745767,11794.690892,60.510916
Inner Product + Remainder,16,16,16,2,4,0.765321,11493.332861,58.964844
cuBLAS,16,16,32,2,4,1.377268,6386.624374,32.765631
Outer-Product + No Remainder,16,16,32,2,4,0.722151,12180.399676,62.489738
Inner Product + No Remainder,16,16,32,2,4,0.758628,11594.737371,59.485084
Inner Product + Remainder,16,16,32,2,4,0.759728,11577.955460,59.398987
