Identifier,tY,tX,bK,tM,tN,time,GFLOPs,percentagePeak
Inner Product + Store + Mem Reuse (LL1),16,16,16,8,8,0.232179,4735.623576,45.008589
Inner Product + Store + Mem Reuse (LL2),16,16,16,8,8,0.230263,4775.021077,45.383034
Inner Product + Store + Mem Reuse (LL4),16,16,16,8,8,0.232695,4725.122216,44.908782
Inner Product + MiG?,16,16,16,8,8,0.242018,4543.095883,43.178757
cuBLAS,16,16,16,8,8,0.228970,4801.998196,45.639431
Inner Product + No Remainder,16,16,16,8,8,0.240785,4566.363437,43.399897
Inner Product DaCe style,16,16,16,8,8,0.240653,4568.872829,43.423747
Inner Product + Store,16,16,16,8,8,0.225193,4882.529706,46.404823
Inner Product + Store (LL1),16,16,16,8,8,0.227279,4837.727562,45.979012
Inner Product + Store (LL2),16,16,16,8,8,0.225701,4871.541032,46.300384
Inner Product + Store (LL4),16,16,16,8,8,0.228317,4815.721915,45.769865
Inner Product + Store + Mem Reuse (LL1),16,16,16,8,8,0.230819,4763.512972,45.273658
Inner Product + Store + Mem Reuse (LL2),16,16,16,8,8,0.232118,4736.864756,45.020386
Inner Product + Store + Mem Reuse (LL4),16,16,16,8,8,0.232254,4734.099375,44.994103
Inner Product + MiG?,16,16,16,8,8,0.236543,4648.261365,44.178276
cuBLAS,16,16,16,8,8,0.244653,4494.174501,42.713795
Inner Product + No Remainder,16,16,16,8,8,0.241654,4549.937327,43.243779
Inner Product DaCe style,16,16,16,8,8,0.236280,4653.421476,44.227320
Inner Product + Store,16,16,16,8,8,0.220614,4983.881663,47.368098
Inner Product + Store (LL1),16,16,16,8,8,0.229954,4781.434121,45.443985
Inner Product + Store (LL2),16,16,16,8,8,0.228531,4811.222905,45.727105
Inner Product + Store (LL4),16,16,16,8,8,0.222566,4940.158670,46.952544
Inner Product + Store + Mem Reuse (LL1),16,16,16,8,8,0.213624,5146.940489,48.917852
Inner Product + Store + Mem Reuse (LL2),16,16,16,8,8,0.232294,4733.283698,44.986351
Inner Product + Store + Mem Reuse (LL4),16,16,16,8,8,0.231948,4740.332109,45.053341
Inner Product + MiG?,16,16,16,8,8,0.241571,4551.511397,43.258740
cuBLAS,16,16,16,8,8,0.234192,4694.914763,44.621682
Inner Product + No Remainder,16,16,16,8,8,0.241812,4546.971196,43.215589
Inner Product DaCe style,16,16,16,8,8,0.236229,4654.428717,44.236893
Inner Product + Store,16,16,16,8,8,0.214183,5133.503257,48.790141
Inner Product + Store (LL1),16,16,16,8,8,0.222313,4945.782913,47.005998
Inner Product + Store (LL2),16,16,16,8,8,0.220570,4984.860146,47.377398
Inner Product + Store (LL4),16,16,16,8,8,0.229489,4791.126827,45.536107
Inner Product + Store + Mem Reuse (LL1),16,16,16,8,8,0.233718,4704.443800,44.712249
Inner Product + Store + Mem Reuse (LL2),16,16,16,8,8,0.231738,4744.632598,45.094214
Inner Product + Store + Mem Reuse (LL4),16,16,16,8,8,0.233073,4717.452975,44.835891
Inner Product + MiG?,16,16,16,8,8,0.241657,4549.878144,43.243217
cuBLAS,16,16,16,8,8,0.228394,4814.109382,45.754539
Inner Product + No Remainder,16,16,16,8,8,0.241982,4543.769962,43.185163
Inner Product DaCe style,16,16,16,8,8,0.241252,4557.531173,43.315953
Inner Product + Store,16,16,16,8,8,0.222818,4934.566804,46.899397
Inner Product + Store (LL1),16,16,16,8,8,0.226692,4850.238928,46.097923
Inner Product + Store (LL2),16,16,16,8,8,0.228728,4807.065143,45.687589
Inner Product + Store (LL4),16,16,16,8,8,0.228413,4813.706739,45.750712
Inner Product + Store + Mem Reuse (LL1),16,16,16,8,8,0.227059,4842.406790,46.023485
Inner Product + Store + Mem Reuse (LL2),16,16,16,8,8,0.226194,4860.919107,46.199431
Inner Product + Store + Mem Reuse (LL4),16,16,16,8,8,0.230907,4761.708010,45.256503
Inner Product + MiG?,16,16,16,8,8,0.242527,4533.568499,43.088206
cuBLAS,16,16,16,8,8,0.235919,4660.552169,44.295091
Inner Product + No Remainder,16,16,16,8,8,0.240778,4566.502920,43.401223
Inner Product DaCe style,16,16,16,8,8,0.240869,4564.772139,43.384773
Inner Product + Store,16,16,16,8,8,0.214089,5135.779040,48.811770
Inner Product + Store (LL1),16,16,16,8,8,0.228933,4802.761543,45.646686
Inner Product + Store (LL2),16,16,16,8,8,0.224035,4907.764794,46.644664
Inner Product + Store (LL4),16,16,16,8,8,0.221696,4959.549281,47.136837
Inner Product + Store + Mem Reuse (LL1),16,16,16,8,8,0.223511,4919.283377,46.754140
Inner Product + Store + Mem Reuse (LL2),16,16,16,8,8,0.228672,4808.253258,45.698881
Inner Product + Store + Mem Reuse (LL4),16,16,16,8,8,0.232535,4728.364503,44.939597
Inner Product + MiG?,16,16,16,8,8,0.242842,4527.675542,43.032198
cuBLAS,16,16,16,8,8,0.231917,4740.965238,45.059358
Inner Product + No Remainder,16,16,16,8,8,0.239302,4594.656530,43.668802
Inner Product DaCe style,16,16,16,8,8,0.241301,4556.588480,43.306994
Inner Product + Store,16,16,16,8,8,0.220381,4989.129900,47.417979
Inner Product + Store (LL1),16,16,16,8,8,0.228235,4817.457914,45.786364
Inner Product + Store (LL2),16,16,16,8,8,0.224423,4899.277862,46.564002
Inner Product + Store (LL4),16,16,16,8,8,0.228818,4805.175441,45.669628
Inner Product + Store + Mem Reuse (LL1),16,16,16,8,8,0.232623,4726.590104,44.922733
Inner Product + Store + Mem Reuse (LL2),16,16,16,8,8,0.231778,4743.811413,45.086409
Inner Product + Store + Mem Reuse (LL4),16,16,16,8,8,0.234280,4693.144286,44.604855
Inner Product + MiG?,16,16,16,8,8,0.242979,4525.136733,43.008068
cuBLAS,16,16,16,8,8,0.234212,4694.508567,44.617822
Inner Product + No Remainder,16,16,16,8,8,0.239442,4591.973302,43.643300
Inner Product DaCe style,16,16,16,8,8,0.238741,4605.457966,43.771462
Inner Product + Store,16,16,16,8,8,0.218769,5025.912915,47.767574
Inner Product + Store (LL1),16,16,16,8,8,0.227711,4828.544367,45.891733
Inner Product + Store (LL2),16,16,16,8,8,0.224258,4902.883737,46.598273
Inner Product + Store (LL4),16,16,16,8,8,0.225960,4865.947913,46.247226
Inner Product + Store + Mem Reuse (LL1),16,16,16,8,8,0.230368,4772.844749,45.362349
Inner Product + Store + Mem Reuse (LL2),16,16,16,8,8,0.224694,4893.380639,46.507953
Inner Product + Store + Mem Reuse (LL4),16,16,16,8,8,0.231422,4751.113330,45.155808
Inner Product + MiG?,16,16,16,8,8,0.239889,4583.419010,43.561998
cuBLAS,16,16,16,8,8,0.239230,4596.038896,43.681941
Inner Product + No Remainder,16,16,16,8,8,0.240571,4570.415387,43.438408
Inner Product DaCe style,16,16,16,8,8,0.238988,4600.693820,43.726182
Inner Product + Store,16,16,16,8,8,0.218920,5022.434362,47.734513
Inner Product + Store (LL1),16,16,16,8,8,0.228308,4815.903441,45.771590
Inner Product + Store (LL2),16,16,16,8,8,0.223271,4924.564312,46.804331
Inner Product + Store (LL4),16,16,16,8,8,0.228070,4820.945603,45.819512
Inner Product + Store + Mem Reuse (LL1),16,16,16,8,8,0.230928,4761.281994,45.252454
Inner Product + Store + Mem Reuse (LL2),16,16,16,8,8,0.232153,4736.144624,45.013542
Inner Product + Store + Mem Reuse (LL4),16,16,16,8,8,0.231343,4752.730011,45.171173
Inner Product + MiG?,16,16,16,8,8,0.236342,4652.200507,44.215715
cuBLAS,16,16,16,8,8,0.228107,4820.149059,45.811942
Inner Product + No Remainder,16,16,16,8,8,0.241133,4559.769721,43.337229
Inner Product DaCe style,16,16,16,8,8,0.240329,4575.024626,43.482216
Inner Product + Store,16,16,16,8,8,0.220591,4984.390854,47.372938
Inner Product + Store (LL1),16,16,16,8,8,0.228669,4808.312295,45.699442
Inner Product + Store (LL2),16,16,16,8,8,0.224636,4894.647385,46.519993
Inner Product + Store (LL4),16,16,16,8,8,0.224967,4887.445549,46.451545
Inner Product + Store + Mem Reuse (LL1),16,16,16,8,8,0.215855,5093.761569,48.412425
Inner Product + Store + Mem Reuse (LL2),16,16,16,8,8,0.232372,4731.694510,44.971247
Inner Product + Store + Mem Reuse (LL4),16,16,16,8,8,0.232313,4732.897570,44.982681
Inner Product + MiG?,16,16,16,8,8,0.241507,4552.716611,43.270194
cuBLAS,16,16,16,1,1,1.494824,5884.367584,55.926549
Inner Product + No Remainder,16,16,16,1,1,10.273062,856.228983,8.137821
Inner Product DaCe style,16,16,16,1,1,2.008690,4379.020597,41.619343
Inner Product + Store (LL1),16,16,16,1,1,10.347316,850.084474,8.079422
Inner Product + Store (LL2),16,16,16,1,1,10.415644,844.507877,8.026421
Inner Product + Store (LL4),16,16,16,1,1,10.471368,840.013729,7.983707
Inner Product + Store + Mem Reuse (LL1),16,16,16,1,1,10.629241,827.537248,7.865128
Inner Product + Store + Mem Reuse (LL2),16,16,16,1,1,11.902512,739.011499,7.023756
Inner Product + Store + Mem Reuse (LL4),16,16,16,1,1,12.229442,719.255445,6.835990
Inner Product + MiG?,16,16,16,1,1,12.399244,709.405583,6.742374
