Identifier,tY,tX,bK,tM,tN,time,GFLOPs,percentagePeak
cuBLAS,16,16,16,8,8,0.240587,4570.124937,43.435648
Inner Product + No Remainder,16,16,16,8,8,0.235872,4661.470825,44.303823
Inner Product DaCe style,16,16,16,8,8,0.232709,4724.843061,44.906129
Inner Product + Store,16,16,16,8,8,0.225115,4884.228137,46.420966
Inner Product + Store (LL1),16,16,16,8,8,0.226130,4862.290821,46.212468
Inner Product + Store (LL2),16,16,16,8,8,0.226535,4853.609812,46.129961
Inner Product + Store (LL4),16,16,16,8,8,0.218146,5040.256179,47.903896
Inner Product + Store + Mem Reuse (LL1),16,16,16,8,8,0.227771,4827.271824,45.879638
Inner Product + Store + Mem Reuse (LL2),16,16,16,8,8,0.224685,4893.570061,46.509754
Inner Product + Store + Mem Reuse (LL4),16,16,16,8,8,0.223725,4914.566422,46.709309
Inner Product + MiG?,16,16,16,8,8,0.239170,4597.197417,43.692952
cuBLAS,16,16,16,8,8,0.228038,4821.607225,45.825800
Inner Product + No Remainder,16,16,16,8,8,0.238226,4615.415570,43.866102
Inner Product DaCe style,16,16,16,8,8,0.237538,4628.776201,43.993084
Inner Product + Store,16,16,16,8,8,0.223427,4921.120064,46.771596
Inner Product + Store (LL1),16,16,16,8,8,0.227672,4829.356635,45.899453
Inner Product + Store (LL2),16,16,16,8,8,0.223461,4920.376758,46.764531
Inner Product + Store (LL4),16,16,16,8,8,0.226265,4859.400694,46.184999
Inner Product + Store + Mem Reuse (LL1),16,16,16,8,8,0.230500,4770.106364,45.336323
Inner Product + Store + Mem Reuse (LL2),16,16,16,8,8,0.223425,4921.177199,46.772139
Inner Product + Store + Mem Reuse (LL4),16,16,16,8,8,0.230380,4772.593433,45.359961
Inner Product + MiG?,16,16,16,8,8,0.239868,4583.812332,43.565736
cuBLAS,16,16,16,8,8,0.240853,4565.072321,43.387626
Inner Product + No Remainder,16,16,16,8,8,0.240321,4575.177420,43.483668
Inner Product DaCe style,16,16,16,8,8,0.238935,4601.713626,43.735875
Inner Product + Store,16,16,16,8,8,0.209201,5255.758062,49.952082
Inner Product + Store (LL1),16,16,16,8,8,0.227262,4838.089405,45.982451
Inner Product + Store (LL2),16,16,16,8,8,0.224321,4901.506698,46.585186
Inner Product + Store (LL4),16,16,16,8,8,0.228912,4803.210702,45.650955
Inner Product + Store + Mem Reuse (LL1),16,16,16,8,8,0.231940,4740.510179,45.055033
Inner Product + Store + Mem Reuse (LL2),16,16,16,8,8,0.225138,4883.723978,46.416174
Inner Product + Store + Mem Reuse (LL4),16,16,16,8,8,0.230168,4777.003353,45.401874
Inner Product + MiG?,16,16,16,8,8,0.240441,4572.901957,43.462041
cuBLAS,16,16,16,8,8,0.231261,4754.425590,45.187289
Inner Product + No Remainder,16,16,16,8,8,0.240027,4580.774512,43.536864
Inner Product DaCe style,16,16,16,8,8,0.240072,4579.932504,43.528861
Inner Product + Store,16,16,16,8,8,0.227495,4833.122849,45.935248
Inner Product + Store (LL1),16,16,16,8,8,0.222612,4939.148227,46.942940
Inner Product + Store (LL2),16,16,16,8,8,0.226707,4849.919986,46.094892
Inner Product + Store (LL4),16,16,16,8,8,0.227074,4842.090829,46.020482
