Name,N,Time(us)
AoS,16,3
AoS,16,3
AoS,16,3
AoS,16,4
AoS,16,4
AoS,16,4
AoS,16,4
AoS,16,4
AoS,16,4
AoS,16,4
AoS,32,28
AoS,32,30
AoS,32,27
AoS,32,30
AoS,32,30
AoS,32,27
AoS,32,29
AoS,32,28
AoS,32,29
AoS,32,30
AoS,64,107
AoS,64,118
AoS,64,110
AoS,64,102
AoS,64,113
AoS,64,107
AoS,64,115
AoS,64,116
AoS,64,115
AoS,64,103
AoS,128,497
AoS,128,458
AoS,128,452
AoS,128,412
AoS,128,456
AoS,128,470
AoS,128,504
AoS,128,452
AoS,128,462
AoS,128,416
AoS,256,3120
AoS,256,2445
AoS,256,3131
AoS,256,2842
AoS,256,2457
AoS,256,2493
AoS,256,2911
AoS,256,3036
AoS,256,3133
AoS,256,2957
AoS,512,13765
AoS,512,22167
AoS,512,22467
AoS,512,21808
AoS,512,22334
AoS,512,13936
AoS,512,13755
AoS,512,13923
AoS,512,13957
AoS,512,22318
AoS,1024,110538
AoS,1024,108250
AoS,1024,107654
AoS,1024,108645
AoS,1024,108098
AoS,1024,107678
AoS,1024,108634
AoS,1024,108197
AoS,1024,107802
AoS,1024,108664
AoS,2048,424073
AoS,2048,424034
AoS,2048,420894
AoS,2048,423996
AoS,2048,424087
AoS,2048,421004
AoS,2048,423905
AoS,2048,286505
AoS,2048,421179
AoS,2048,424006
AoS,4096,1720865
AoS,4096,1691484
AoS,4096,1674768
AoS,4096,1684477
AoS,4096,1680763
AoS,4096,1682828
AoS,4096,1675969
AoS,4096,1687499
AoS,4096,1674825
AoS,4096,1686614
AoS,8192,6583684
AoS,8192,5369438
AoS,8192,6599662
AoS,8192,5054275
AoS,8192,6554781
AoS,8192,5358054
AoS,8192,6604222
AoS,8192,6581819
AoS,8192,6514471
AoS,8192,6592614
SoA,16,1
SoA,16,1
SoA,16,1
SoA,16,1
SoA,16,1
SoA,16,1
SoA,16,1
SoA,16,2
SoA,16,1
SoA,16,1
SoA,32,4
SoA,32,4
SoA,32,4
SoA,32,5
SoA,32,4
SoA,32,4
SoA,32,4
SoA,32,4
SoA,32,4
SoA,32,4
SoA,64,18
SoA,64,18
SoA,64,19
SoA,64,18
SoA,64,18
SoA,64,18
SoA,64,18
SoA,64,18
SoA,64,18
SoA,64,18
SoA,128,76
SoA,128,76
SoA,128,81
SoA,128,76
SoA,128,76
SoA,128,76
SoA,128,76
SoA,128,76
SoA,128,76
SoA,128,76
SoA,256,315
SoA,256,317
SoA,256,312
SoA,256,311
SoA,256,311
SoA,256,311
SoA,256,311
SoA,256,312
SoA,256,316
SoA,256,317
SoA,512,1264
SoA,512,1268
SoA,512,1267
SoA,512,1269
SoA,512,1266
SoA,512,1266
SoA,512,1267
SoA,512,1265
SoA,512,1266
SoA,512,1266
SoA,1024,5089
SoA,1024,5093
SoA,1024,5091
SoA,1024,5088
SoA,1024,5092
SoA,1024,5092
SoA,1024,5090
SoA,1024,5092
SoA,1024,5094
SoA,1024,5092
SoA,2048,20420
SoA,2048,20422
SoA,2048,20423
SoA,2048,20423
SoA,2048,20421
SoA,2048,20420
SoA,2048,20424
SoA,2048,20424
SoA,2048,20438
SoA,2048,20420
SoA,4096,81809
SoA,4096,81814
SoA,4096,81818
SoA,4096,81811
SoA,4096,81822
SoA,4096,81811
SoA,4096,81813
SoA,4096,81805
SoA,4096,81812
SoA,4096,81839
SoA,8192,328963
SoA,8192,329082
SoA,8192,328985
SoA,8192,329071
SoA,8192,328915
SoA,8192,328931
SoA,8192,328954
SoA,8192,328931
SoA,8192,329077
SoA,8192,329074
